month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0669
2,1,0.0765
3,1,0.0835
4,1,0.0861
5,1,0.0835
6,1,0.0765
7,1,0.0669
8,1,0.0573
9,1,0.0502
10,1,0.0477
11,1,0.0502
12,1,0.0573
1,2,0.0659
2,2,0.0755
3,2,0.0825
4,2,0.0851
5,2,0.0825
6,2,0.0755
7,2,0.0659
8,2,0.0563
9,2,0.0493
10,2,0.0467
11,2,0.0493
12,2,0.0563
1,3,0.0644
2,3,0.074
3,3,0.081
4,3,0.0836
5,3,0.081
6,3,0.074
7,3,0.0644
8,3,0.0548
9,3,0.0478
10,3,0.0452
11,3,0.0478
12,3,0.0548
1,4,0.0624
2,4,0.072
3,4,0.079
4,4,0.0816
5,4,0.079
6,4,0.072
7,4,0.0624
8,4,0.0528
9,4,0.0458
10,4,0.0432
11,4,0.0458
12,4,0.0528
1,5,0.0601
2,5,0.0697
3,5,0.0767
4,5,0.0793
5,5,0.0767
6,5,0.0697
7,5,0.0601
8,5,0.0505
9,5,0.0435
10,5,0.0409
11,5,0.0435
12,5,0.0505
1,6,0.0576
2,6,0.0672
3,6,0.0742
4,6,0.0768
5,6,0.0742
6,6,0.0672
7,6,0.0576
8,6,0.048
9,6,0.041
10,6,0.0384
11,6,0.041
12,6,0.048
1,7,0.0551
2,7,0.0647
3,7,0.0717
4,7,0.0743
5,7,0.0717
6,7,0.0647
7,7,0.0551
8,7,0.0455
9,7,0.0385
10,7,0.0359
11,7,0.0385
12,7,0.0455
1,8,0.0528
2,8,0.0624
3,8,0.0694
4,8,0.072
5,8,0.0694
6,8,0.0624
7,8,0.0528
8,8,0.0432
9,8,0.0362
10,8,0.0336
11,8,0.0362
12,8,0.0432
1,9,0.0508
2,9,0.0604
3,9,0.0674
4,9,0.07
5,9,0.0674
6,9,0.0604
7,9,0.0508
8,9,0.0412
9,9,0.0342
10,9,0.0316
11,9,0.0342
12,9,0.0412
1,10,0.0493
2,10,0.0589
3,10,0.0659
4,10,0.0685
5,10,0.0659
6,10,0.0589
7,10,0.0493
8,10,0.0397
9,10,0.0327
10,10,0.0301
11,10,0.0327
12,10,0.0397
1,11,0.0483
2,11,0.0579
3,11,0.065
4,11,0.0675
5,11,0.065
6,11,0.0579
7,11,0.0483
8,11,0.0387
9,11,0.0317
10,11,0.0291
11,11,0.0317
12,11,0.0387
1,12,0.048
2,12,0.0576
3,12,0.0646
4,12,0.0672
5,12,0.0646
6,12,0.0576
7,12,0.048
8,12,0.0384
9,12,0.0314
10,12,0.0288
11,12,0.0314
12,12,0.0384
1,13,0.0483
2,13,0.0579
3,13,0.065
4,13,0.0675
5,13,0.065
6,13,0.0579
7,13,0.0483
8,13,0.0387
9,13,0.0317
10,13,0.0291
11,13,0.0317
12,13,0.0387
1,14,0.0493
2,14,0.0589
3,14,0.0659
4,14,0.0685
5,14,0.0659
6,14,0.0589
7,14,0.0493
8,14,0.0397
9,14,0.0327
10,14,0.0301
11,14,0.0327
12,14,0.0397
1,15,0.0508
2,15,0.0604
3,15,0.0674
4,15,0.07
5,15,0.0674
6,15,0.0604
7,15,0.0508
8,15,0.0412
9,15,0.0342
10,15,0.0316
11,15,0.0342
12,15,0.0412
1,16,0.0528
2,16,0.0624
3,16,0.0694
4,16,0.072
5,16,0.0694
6,16,0.0624
7,16,0.0528
8,16,0.0432
9,16,0.0362
10,16,0.0336
11,16,0.0362
12,16,0.0432
1,17,0.0551
2,17,0.0647
3,17,0.0717
4,17,0.0743
5,17,0.0717
6,17,0.0647
7,17,0.0551
8,17,0.0455
9,17,0.0385
10,17,0.0359
11,17,0.0385
12,17,0.0455
1,18,0.0576
2,18,0.0672
3,18,0.0742
4,18,0.0768
5,18,0.0742
6,18,0.0672
7,18,0.0576
8,18,0.048
9,18,0.041
10,18,0.0384
11,18,0.041
12,18,0.048
1,19,0.0601
2,19,0.0697
3,19,0.0767
4,19,0.0793
5,19,0.0767
6,19,0.0697
7,19,0.0601
8,19,0.0505
9,19,0.0435
10,19,0.0409
11,19,0.0435
12,19,0.0505
1,20,0.0624
2,20,0.072
3,20,0.079
4,20,0.0816
5,20,0.079
6,20,0.072
7,20,0.0624
8,20,0.0528
9,20,0.0458
10,20,0.0432
11,20,0.0458
12,20,0.0528
1,21,0.0644
2,21,0.074
3,21,0.081
4,21,0.0836
5,21,0.081
6,21,0.074
7,21,0.0644
8,21,0.0548
9,21,0.0478
10,21,0.0452
11,21,0.0478
12,21,0.0548
1,22,0.0659
2,22,0.0755
3,22,0.0825
4,22,0.0851
5,22,0.0825
6,22,0.0755
7,22,0.0659
8,22,0.0563
9,22,0.0493
10,22,0.0467
11,22,0.0493
12,22,0.0563
1,23,0.0669
2,23,0.0765
3,23,0.0835
4,23,0.0861
5,23,0.0835
6,23,0.0765
7,23,0.0669
8,23,0.0573
9,23,0.0502
10,23,0.0477
11,23,0.0502
12,23,0.0573
