month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0697
2,1,0.0797
3,1,0.087
4,1,0.0897
5,1,0.087
6,1,0.0797
7,1,0.0697
8,1,0.0597
9,1,0.0523
10,1,0.0497
11,1,0.0523
12,1,0.0597
1,2,0.0687
2,2,0.0787
3,2,0.086
4,2,0.0887
5,2,0.086
6,2,0.0787
7,2,0.0687
8,2,0.0587
9,2,0.0513
10,2,0.0487
11,2,0.0513
12,2,0.0587
1,3,0.0671
2,3,0.0771
3,3,0.0844
4,3,0.0871
5,3,0.0844
6,3,0.0771
7,3,0.0671
8,3,0.0571
9,3,0.0498
10,3,0.0471
11,3,0.0498
12,3,0.0571
1,4,0.065
2,4,0.075
3,4,0.0823
4,4,0.085
5,4,0.0823
6,4,0.075
7,4,0.065
8,4,0.055
9,4,0.0477
10,4,0.045
11,4,0.0477
12,4,0.055
1,5,0.0626
2,5,0.0726
3,5,0.0799
4,5,0.0826
5,5,0.0799
6,5,0.0726
7,5,0.0626
8,5,0.0526
9,5,0.0453
10,5,0.0426
11,5,0.0453
12,5,0.0526
1,6,0.06
2,6,0.07
3,6,0.0773
4,6,0.08
5,6,0.0773
6,6,0.07
7,6,0.06
8,6,0.05
9,6,0.0427
10,6,0.04
11,6,0.0427
12,6,0.05
1,7,0.0574
2,7,0.0674
3,7,0.0747
4,7,0.0774
5,7,0.0747
6,7,0.0674
7,7,0.0574
8,7,0.0474
9,7,0.0401
10,7,0.0374
11,7,0.0401
12,7,0.0474
1,8,0.055
2,8,0.065
3,8,0.0723
4,8,0.075
5,8,0.0723
6,8,0.065
7,8,0.055
8,8,0.045
9,8,0.0377
10,8,0.035
11,8,0.0377
12,8,0.045
1,9,0.0529
2,9,0.0629
3,9,0.0702
4,9,0.0729
5,9,0.0702
6,9,0.0629
7,9,0.0529
8,9,0.0429
9,9,0.0356
10,9,0.0329
11,9,0.0356
12,9,0.0429
1,10,0.0513
2,10,0.0613
3,10,0.0687
4,10,0.0713
5,10,0.0687
6,10,0.0613
7,10,0.0513
8,10,0.0413
9,10,0.034
10,10,0.0313
11,10,0.034
12,10,0.0413
1,11,0.0503
2,11,0.0603
3,11,0.0677
4,11,0.0703
5,11,0.0677
6,11,0.0603
7,11,0.0503
8,11,0.0403
9,11,0.033
10,11,0.0303
11,11,0.033
12,11,0.0403
1,12,0.05
2,12,0.06
3,12,0.0673
4,12,0.07
5,12,0.0673
6,12,0.06
7,12,0.05
8,12,0.04
9,12,0.0327
10,12,0.03
11,12,0.0327
12,12,0.04
1,13,0.0503
2,13,0.0603
3,13,0.0677
4,13,0.0703
5,13,0.0677
6,13,0.0603
7,13,0.0503
8,13,0.0403
9,13,0.033
10,13,0.0303
11,13,0.033
12,13,0.0403
1,14,0.0513
2,14,0.0613
3,14,0.0687
4,14,0.0713
5,14,0.0687
6,14,0.0613
7,14,0.0513
8,14,0.0413
9,14,0.034
10,14,0.0313
11,14,0.034
12,14,0.0413
1,15,0.0529
2,15,0.0629
3,15,0.0702
4,15,0.0729
5,15,0.0702
6,15,0.0629
7,15,0.0529
8,15,0.0429
9,15,0.0356
10,15,0.0329
11,15,0.0356
12,15,0.0429
1,16,0.055
2,16,0.065
3,16,0.0723
4,16,0.075
5,16,0.0723
6,16,0.065
7,16,0.055
8,16,0.045
9,16,0.0377
10,16,0.035
11,16,0.0377
12,16,0.045
1,17,0.0574
2,17,0.0674
3,17,0.0747
4,17,0.0774
5,17,0.0747
6,17,0.0674
7,17,0.0574
8,17,0.0474
9,17,0.0401
10,17,0.0374
11,17,0.0401
12,17,0.0474
1,18,0.06
2,18,0.07
3,18,0.0773
4,18,0.08
5,18,0.0773
6,18,0.07
7,18,0.06
8,18,0.05
9,18,0.0427
10,18,0.04
11,18,0.0427
12,18,0.05
1,19,0.0626
2,19,0.0726
3,19,0.0799
4,19,0.0826
5,19,0.0799
6,19,0.0726
7,19,0.0626
8,19,0.0526
9,19,0.0453
10,19,0.0426
11,19,0.0453
12,19,0.0526
1,20,0.065
2,20,0.075
3,20,0.0823
4,20,0.085
5,20,0.0823
6,20,0.075
7,20,0.065
8,20,0.055
9,20,0.0477
10,20,0.045
11,20,0.0477
12,20,0.055
1,21,0.0671
2,21,0.0771
3,21,0.0844
4,21,0.0871
5,21,0.0844
6,21,0.0771
7,21,0.0671
8,21,0.0571
9,21,0.0498
10,21,0.0471
11,21,0.0498
12,21,0.0571
1,22,0.0687
2,22,0.0787
3,22,0.086
4,22,0.0887
5,22,0.086
6,22,0.0787
7,22,0.0687
8,22,0.0587
9,22,0.0513
10,22,0.0487
11,22,0.0513
12,22,0.0587
1,23,0.0697
2,23,0.0797
3,23,0.087
4,23,0.0897
5,23,0.087
6,23,0.0797
7,23,0.0697
8,23,0.0597
9,23,0.0523
10,23,0.0497
11,23,0.0523
12,23,0.0597
