month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0612
2,1,0.0709
3,1,0.078
4,1,0.0807
5,1,0.078
6,1,0.0709
7,1,0.0612
8,1,0.0514
9,1,0.0443
10,1,0.0417
11,1,0.0443
12,1,0.0514
1,2,0.0604
2,2,0.0701
3,2,0.0773
4,2,0.0799
5,2,0.0773
6,2,0.0701
7,2,0.0604
8,2,0.0506
9,2,0.0435
10,2,0.0409
11,2,0.0435
12,2,0.0506
1,3,0.0591
2,3,0.0689
3,3,0.076
4,3,0.0786
5,3,0.076
6,3,0.0689
7,3,0.0591
8,3,0.0494
9,3,0.0423
10,3,0.0396
11,3,0.0423
12,3,0.0494
1,4,0.0575
2,4,0.0673
3,4,0.0744
4,4,0.077
5,4,0.0744
6,4,0.0673
7,4,0.0575
8,4,0.0478
9,4,0.0406
10,4,0.038
11,4,0.0406
12,4,0.0478
1,5,0.0556
2,5,0.0654
3,5,0.0725
4,5,0.0751
5,5,0.0725
6,5,0.0654
7,5,0.0556
8,5,0.0459
9,5,0.0388
10,5,0.0361
11,5,0.0388
12,5,0.0459
1,6,0.0536
2,6,0.0634
3,6,0.0705
4,6,0.0731
5,6,0.0705
6,6,0.0634
7,6,0.0536
8,6,0.0439
9,6,0.0367
10,6,0.0341
11,6,0.0367
12,6,0.0439
1,7,0.0516
2,7,0.0614
3,7,0.0685
4,7,0.0711
5,7,0.0685
6,7,0.0614
7,7,0.0516
8,7,0.0419
9,7,0.0347
10,7,0.0321
11,7,0.0347
12,7,0.0419
1,8,0.0497
2,8,0.0595
3,8,0.0666
4,8,0.0692
5,8,0.0666
6,8,0.0595
7,8,0.0497
8,8,0.04
9,8,0.0328
10,8,0.0302
11,8,0.0328
12,8,0.04
1,9,0.0481
2,9,0.0579
3,9,0.065
4,9,0.0676
5,9,0.065
6,9,0.0579
7,9,0.0481
8,9,0.0384
9,9,0.0312
10,9,0.0286
11,9,0.0312
12,9,0.0384
1,10,0.0469
2,10,0.0566
3,10,0.0638
4,10,0.0664
5,10,0.0638
6,10,0.0566
7,10,0.0469
8,10,0.0371
9,10,0.03
10,10,0.0274
11,10,0.03
12,10,0.0371
1,11,0.0461
2,11,0.0558
3,11,0.063
4,11,0.0656
5,11,0.063
6,11,0.0558
7,11,0.0461
8,11,0.0363
9,11,0.0292
10,11,0.0266
11,11,0.0292
12,11,0.0363
1,12,0.0458
2,12,0.0556
3,12,0.0627
4,12,0.0653
5,12,0.0627
6,12,0.0556
7,12,0.0458
8,12,0.0361
9,12,0.0289
10,12,0.0263
11,12,0.0289
12,12,0.0361
1,13,0.0461
2,13,0.0558
3,13,0.063
4,13,0.0656
5,13,0.063
6,13,0.0558
7,13,0.0461
8,13,0.0363
9,13,0.0292
10,13,0.0266
11,13,0.0292
12,13,0.0363
1,14,0.0469
2,14,0.0566
3,14,0.0638
4,14,0.0664
5,14,0.0638
6,14,0.0566
7,14,0.0469
8,14,0.0371
9,14,0.03
10,14,0.0274
11,14,0.03
12,14,0.0371
1,15,0.0481
2,15,0.0579
3,15,0.065
4,15,0.0676
5,15,0.065
6,15,0.0579
7,15,0.0481
8,15,0.0384
9,15,0.0312
10,15,0.0286
11,15,0.0312
12,15,0.0384
1,16,0.0497
2,16,0.0595
3,16,0.0666
4,16,0.0692
5,16,0.0666
6,16,0.0595
7,16,0.0497
8,16,0.04
9,16,0.0328
10,16,0.0302
11,16,0.0328
12,16,0.04
1,17,0.0516
2,17,0.0614
3,17,0.0685
4,17,0.0711
5,17,0.0685
6,17,0.0614
7,17,0.0516
8,17,0.0419
9,17,0.0347
10,17,0.0321
11,17,0.0347
12,17,0.0419
1,18,0.0536
2,18,0.0634
3,18,0.0705
4,18,0.0731
5,18,0.0705
6,18,0.0634
7,18,0.0536
8,18,0.0439
9,18,0.0367
10,18,0.0341
11,18,0.0367
12,18,0.0439
1,19,0.0556
2,19,0.0654
3,19,0.0725
4,19,0.0751
5,19,0.0725
6,19,0.0654
7,19,0.0556
8,19,0.0459
9,19,0.0388
10,19,0.0361
11,19,0.0388
12,19,0.0459
1,20,0.0575
2,20,0.0673
3,20,0.0744
4,20,0.077
5,20,0.0744
6,20,0.0673
7,20,0.0575
8,20,0.0478
9,20,0.0406
10,20,0.038
11,20,0.0406
12,20,0.0478
1,21,0.0591
2,21,0.0689
3,21,0.076
4,21,0.0786
5,21,0.076
6,21,0.0689
7,21,0.0591
8,21,0.0494
9,21,0.0423
10,21,0.0396
11,21,0.0423
12,21,0.0494
1,22,0.0604
2,22,0.0701
3,22,0.0773
4,22,0.0799
5,22,0.0773
6,22,0.0701
7,22,0.0604
8,22,0.0506
9,22,0.0435
10,22,0.0409
11,22,0.0435
12,22,0.0506
1,23,0.0612
2,23,0.0709
3,23,0.078
4,23,0.0807
5,23,0.078
6,23,0.0709
7,23,0.0612
8,23,0.0514
9,23,0.0443
10,23,0.0417
11,23,0.0443
12,23,0.0514
