month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.078
2,1,0.0892
3,1,0.0974
4,1,0.1004
5,1,0.0974
6,1,0.0892
7,1,0.078
8,1,0.0668
9,1,0.0586
10,1,0.0556
11,1,0.0586
12,1,0.0668
1,2,0.0769
2,2,0.0881
3,2,0.0963
4,2,0.0993
5,2,0.0963
6,2,0.0881
7,2,0.0769
8,2,0.0657
9,2,0.0575
10,2,0.0545
11,2,0.0575
12,2,0.0657
1,3,0.0751
2,3,0.0863
3,3,0.0945
4,3,0.0975
5,3,0.0945
6,3,0.0863
7,3,0.0751
8,3,0.0639
9,3,0.0557
10,3,0.0527
11,3,0.0557
12,3,0.0639
1,4,0.0728
2,4,0.084
3,4,0.0922
4,4,0.0952
5,4,0.0922
6,4,0.084
7,4,0.0728
8,4,0.0616
9,4,0.0534
10,4,0.0504
11,4,0.0534
12,4,0.0616
1,5,0.0701
2,5,0.0813
3,5,0.0895
4,5,0.0925
5,5,0.0895
6,5,0.0813
7,5,0.0701
8,5,0.0589
9,5,0.0507
10,5,0.0477
11,5,0.0507
12,5,0.0589
1,6,0.0672
2,6,0.0784
3,6,0.0866
4,6,0.0896
5,6,0.0866
6,6,0.0784
7,6,0.0672
8,6,0.056
9,6,0.0478
10,6,0.0448
11,6,0.0478
12,6,0.056
1,7,0.0643
2,7,0.0755
3,7,0.0837
4,7,0.0867
5,7,0.0837
6,7,0.0755
7,7,0.0643
8,7,0.0531
9,7,0.0449
10,7,0.0419
11,7,0.0449
12,7,0.0531
1,8,0.0616
2,8,0.0728
3,8,0.081
4,8,0.084
5,8,0.081
6,8,0.0728
7,8,0.0616
8,8,0.0504
9,8,0.0422
10,8,0.0392
11,8,0.0422
12,8,0.0504
1,9,0.0593
2,9,0.0705
3,9,0.0787
4,9,0.0817
5,9,0.0787
6,9,0.0705
7,9,0.0593
8,9,0.0481
9,9,0.0399
10,9,0.0369
11,9,0.0399
12,9,0.0481
1,10,0.0575
2,10,0.0687
3,10,0.0769
4,10,0.0799
5,10,0.0769
6,10,0.0687
7,10,0.0575
8,10,0.0463
9,10,0.0381
10,10,0.0351
11,10,0.0381
12,10,0.0463
1,11,0.0564
2,11,0.0676
3,11,0.0758
4,11,0.0788
5,11,0.0758
6,11,0.0676
7,11,0.0564
8,11,0.0452
9,11,0.037
10,11,0.034
11,11,0.037
12,11,0.0452
1,12,0.056
2,12,0.0672
3,12,0.0754
4,12,0.0784
5,12,0.0754
6,12,0.0672
7,12,0.056
8,12,0.0448
9,12,0.0366
10,12,0.0336
11,12,0.0366
12,12,0.0448
1,13,0.0564
2,13,0.0676
3,13,0.0758
4,13,0.0788
5,13,0.0758
6,13,0.0676
7,13,0.0564
8,13,0.0452
9,13,0.037
10,13,0.034
11,13,0.037
12,13,0.0452
1,14,0.0575
2,14,0.0687
3,14,0.0769
4,14,0.0799
5,14,0.0769
6,14,0.0687
7,14,0.0575
8,14,0.0463
9,14,0.0381
10,14,0.0351
11,14,0.0381
12,14,0.0463
1,15,0.0593
2,15,0.0705
3,15,0.0787
4,15,0.0817
5,15,0.0787
6,15,0.0705
7,15,0.0593
8,15,0.0481
9,15,0.0399
10,15,0.0369
11,15,0.0399
12,15,0.0481
1,16,0.0616
2,16,0.0728
3,16,0.081
4,16,0.084
5,16,0.081
6,16,0.0728
7,16,0.0616
8,16,0.0504
9,16,0.0422
10,16,0.0392
11,16,0.0422
12,16,0.0504
1,17,0.0643
2,17,0.0755
3,17,0.0837
4,17,0.0867
5,17,0.0837
6,17,0.0755
7,17,0.0643
8,17,0.0531
9,17,0.0449
10,17,0.0419
11,17,0.0449
12,17,0.0531
1,18,0.0672
2,18,0.0784
3,18,0.0866
4,18,0.0896
5,18,0.0866
6,18,0.0784
7,18,0.0672
8,18,0.056
9,18,0.0478
10,18,0.0448
11,18,0.0478
12,18,0.056
1,19,0.0701
2,19,0.0813
3,19,0.0895
4,19,0.0925
5,19,0.0895
6,19,0.0813
7,19,0.0701
8,19,0.0589
9,19,0.0507
10,19,0.0477
11,19,0.0507
12,19,0.0589
1,20,0.0728
2,20,0.084
3,20,0.0922
4,20,0.0952
5,20,0.0922
6,20,0.084
7,20,0.0728
8,20,0.0616
9,20,0.0534
10,20,0.0504
11,20,0.0534
12,20,0.0616
1,21,0.0751
2,21,0.0863
3,21,0.0945
4,21,0.0975
5,21,0.0945
6,21,0.0863
7,21,0.0751
8,21,0.0639
9,21,0.0557
10,21,0.0527
11,21,0.0557
12,21,0.0639
1,22,0.0769
2,22,0.0881
3,22,0.0963
4,22,0.0993
5,22,0.0963
6,22,0.0881
7,22,0.0769
8,22,0.0657
9,22,0.0575
10,22,0.0545
11,22,0.0575
12,22,0.0657
1,23,0.078
2,23,0.0892
3,23,0.0974
4,23,0.1004
5,23,0.0974
6,23,0.0892
7,23,0.078
8,23,0.0668
9,23,0.0586
10,23,0.0556
11,23,0.0586
12,23,0.0668
