month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0627
2,1,0.0727
3,1,0.08
4,1,0.0827
5,1,0.08
6,1,0.0727
7,1,0.0627
8,1,0.0527
9,1,0.0454
10,1,0.0427
11,1,0.0454
12,1,0.0527
1,2,0.0619
2,2,0.0719
3,2,0.0792
4,2,0.0819
5,2,0.0792
6,2,0.0719
7,2,0.0619
8,2,0.0519
9,2,0.0446
10,2,0.0419
11,2,0.0446
12,2,0.0519
1,3,0.0607
2,3,0.0707
3,3,0.078
4,3,0.0807
5,3,0.078
6,3,0.0707
7,3,0.0607
8,3,0.0507
9,3,0.0433
10,3,0.0407
11,3,0.0433
12,3,0.0507
1,4,0.059
2,4,0.069
3,4,0.0763
4,4,0.079
5,4,0.0763
6,4,0.069
7,4,0.059
8,4,0.049
9,4,0.0417
10,4,0.039
11,4,0.0417
12,4,0.049
1,5,0.0571
2,5,0.0671
3,5,0.0744
4,5,0.0771
5,5,0.0744
6,5,0.0671
7,5,0.0571
8,5,0.0471
9,5,0.0398
10,5,0.0371
11,5,0.0398
12,5,0.0471
1,6,0.055
2,6,0.065
3,6,0.0723
4,6,0.075
5,6,0.0723
6,6,0.065
7,6,0.055
8,6,0.045
9,6,0.0377
10,6,0.035
11,6,0.0377
12,6,0.045
1,7,0.0529
2,7,0.0629
3,7,0.0702
4,7,0.0729
5,7,0.0702
6,7,0.0629
7,7,0.0529
8,7,0.0429
9,7,0.0356
10,7,0.0329
11,7,0.0356
12,7,0.0429
1,8,0.051
2,8,0.061
3,8,0.0683
4,8,0.071
5,8,0.0683
6,8,0.061
7,8,0.051
8,8,0.041
9,8,0.0337
10,8,0.031
11,8,0.0337
12,8,0.041
1,9,0.0493
2,9,0.0593
3,9,0.0667
4,9,0.0693
5,9,0.0667
6,9,0.0593
7,9,0.0493
8,9,0.0393
9,9,0.032
10,9,0.0293
11,9,0.032
12,9,0.0393
1,10,0.0481
2,10,0.0581
3,10,0.0654
4,10,0.0681
5,10,0.0654
6,10,0.0581
7,10,0.0481
8,10,0.0381
9,10,0.0308
10,10,0.0281
11,10,0.0308
12,10,0.0381
1,11,0.0473
2,11,0.0573
3,11,0.0646
4,11,0.0673
5,11,0.0646
6,11,0.0573
7,11,0.0473
8,11,0.0373
9,11,0.03
10,11,0.0273
11,11,0.03
12,11,0.0373
1,12,0.047
2,12,0.057
3,12,0.0643
4,12,0.067
5,12,0.0643
6,12,0.057
7,12,0.047
8,12,0.037
9,12,0.0297
10,12,0.027
11,12,0.0297
12,12,0.037
1,13,0.0473
2,13,0.0573
3,13,0.0646
4,13,0.0673
5,13,0.0646
6,13,0.0573
7,13,0.0473
8,13,0.0373
9,13,0.03
10,13,0.0273
11,13,0.03
12,13,0.0373
1,14,0.0481
2,14,0.0581
3,14,0.0654
4,14,0.0681
5,14,0.0654
6,14,0.0581
7,14,0.0481
8,14,0.0381
9,14,0.0308
10,14,0.0281
11,14,0.0308
12,14,0.0381
1,15,0.0493
2,15,0.0593
3,15,0.0667
4,15,0.0693
5,15,0.0667
6,15,0.0593
7,15,0.0493
8,15,0.0393
9,15,0.032
10,15,0.0293
11,15,0.032
12,15,0.0393
1,16,0.051
2,16,0.061
3,16,0.0683
4,16,0.071
5,16,0.0683
6,16,0.061
7,16,0.051
8,16,0.041
9,16,0.0337
10,16,0.031
11,16,0.0337
12,16,0.041
1,17,0.0529
2,17,0.0629
3,17,0.0702
4,17,0.0729
5,17,0.0702
6,17,0.0629
7,17,0.0529
8,17,0.0429
9,17,0.0356
10,17,0.0329
11,17,0.0356
12,17,0.0429
1,18,0.055
2,18,0.065
3,18,0.0723
4,18,0.075
5,18,0.0723
6,18,0.065
7,18,0.055
8,18,0.045
9,18,0.0377
10,18,0.035
11,18,0.0377
12,18,0.045
1,19,0.0571
2,19,0.0671
3,19,0.0744
4,19,0.0771
5,19,0.0744
6,19,0.0671
7,19,0.0571
8,19,0.0471
9,19,0.0398
10,19,0.0371
11,19,0.0398
12,19,0.0471
1,20,0.059
2,20,0.069
3,20,0.0763
4,20,0.079
5,20,0.0763
6,20,0.069
7,20,0.059
8,20,0.049
9,20,0.0417
10,20,0.039
11,20,0.0417
12,20,0.049
1,21,0.0607
2,21,0.0707
3,21,0.078
4,21,0.0807
5,21,0.078
6,21,0.0707
7,21,0.0607
8,21,0.0507
9,21,0.0433
10,21,0.0407
11,21,0.0433
12,21,0.0507
1,22,0.0619
2,22,0.0719
3,22,0.0792
4,22,0.0819
5,22,0.0792
6,22,0.0719
7,22,0.0619
8,22,0.0519
9,22,0.0446
10,22,0.0419
11,22,0.0446
12,22,0.0519
1,23,0.0627
2,23,0.0727
3,23,0.08
4,23,0.0827
5,23,0.08
6,23,0.0727
7,23,0.0627
8,23,0.0527
9,23,0.0454
10,23,0.0427
11,23,0.0454
12,23,0.0527
