month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0596
2,1,0.0691
3,1,0.076
4,1,0.0786
5,1,0.076
6,1,0.0691
7,1,0.0596
8,1,0.0501
9,1,0.0431
10,1,0.0406
11,1,0.0431
12,1,0.0501
1,2,0.0588
2,2,0.0683
3,2,0.0753
4,2,0.0778
5,2,0.0753
6,2,0.0683
7,2,0.0588
8,2,0.0493
9,2,0.0424
10,2,0.0398
11,2,0.0424
12,2,0.0493
1,3,0.0576
2,3,0.0671
3,3,0.0741
4,3,0.0766
5,3,0.0741
6,3,0.0671
7,3,0.0576
8,3,0.0481
9,3,0.0412
10,3,0.0386
11,3,0.0412
12,3,0.0481
1,4,0.056
2,4,0.0656
3,4,0.0725
4,4,0.075
5,4,0.0725
6,4,0.0656
7,4,0.056
8,4,0.0466
9,4,0.0396
10,4,0.0371
11,4,0.0396
12,4,0.0465
1,5,0.0542
2,5,0.0637
3,5,0.0707
4,5,0.0732
5,5,0.0707
6,5,0.0637
7,5,0.0542
8,5,0.0447
9,5,0.0378
10,5,0.0352
11,5,0.0378
12,5,0.0447
1,6,0.0522
2,6,0.0618
3,6,0.0687
4,6,0.0712
5,6,0.0687
6,6,0.0618
7,6,0.0522
8,6,0.0427
9,6,0.0358
10,6,0.0332
11,6,0.0358
12,6,0.0427
1,7,0.0503
2,7,0.0598
3,7,0.0667
4,7,0.0693
5,7,0.0667
6,7,0.0598
7,7,0.0503
8,7,0.0408
9,7,0.0338
10,7,0.0313
11,7,0.0338
12,7,0.0408
1,8,0.0484
2,8,0.058
3,8,0.0649
4,8,0.0674
5,8,0.0649
6,8,0.058
7,8,0.0484
8,8,0.039
9,8,0.032
10,8,0.0295
11,8,0.032
12,8,0.0389
1,9,0.0469
2,9,0.0564
3,9,0.0633
4,9,0.0659
5,9,0.0633
6,9,0.0564
7,9,0.0469
8,9,0.0374
9,9,0.0304
10,9,0.0279
11,9,0.0304
12,9,0.0374
1,10,0.0457
2,10,0.0552
3,10,0.0621
4,10,0.0647
5,10,0.0621
6,10,0.0552
7,10,0.0457
8,10,0.0362
9,10,0.0292
10,10,0.0267
11,10,0.0292
12,10,0.0362
1,11,0.0449
2,11,0.0544
3,11,0.0614
4,11,0.0639
5,11,0.0614
6,11,0.0544
7,11,0.0449
8,11,0.0354
9,11,0.0285
10,11,0.0259
11,11,0.0285
12,11,0.0354
1,12,0.0446
2,12,0.0542
3,12,0.0611
4,12,0.0636
5,12,0.0611
6,12,0.0542
7,12,0.0446
8,12,0.0351
9,12,0.0282
10,12,0.0256
11,12,0.0282
12,12,0.0351
1,13,0.0449
2,13,0.0544
3,13,0.0614
4,13,0.0639
5,13,0.0614
6,13,0.0544
7,13,0.0449
8,13,0.0354
9,13,0.0285
10,13,0.0259
11,13,0.0285
12,13,0.0354
1,14,0.0457
2,14,0.0552
3,14,0.0621
4,14,0.0647
5,14,0.0621
6,14,0.0552
7,14,0.0457
8,14,0.0362
9,14,0.0292
10,14,0.0267
11,14,0.0292
12,14,0.0362
1,15,0.0469
2,15,0.0564
3,15,0.0633
4,15,0.0659
5,15,0.0633
6,15,0.0564
7,15,0.0469
8,15,0.0374
9,15,0.0304
10,15,0.0279
11,15,0.0304
12,15,0.0374
1,16,0.0484
2,16,0.058
3,16,0.0649
4,16,0.0674
5,16,0.0649
6,16,0.058
7,16,0.0484
8,16,0.0389
9,16,0.032
10,16,0.0294
11,16,0.032
12,16,0.0389
1,17,0.0503
2,17,0.0598
3,17,0.0667
4,17,0.0693
5,17,0.0667
6,17,0.0598
7,17,0.0503
8,17,0.0408
9,17,0.0338
10,17,0.0313
11,17,0.0338
12,17,0.0408
1,18,0.0522
2,18,0.0618
3,18,0.0687
4,18,0.0712
5,18,0.0687
6,18,0.0618
7,18,0.0522
8,18,0.0427
9,18,0.0358
10,18,0.0332
11,18,0.0358
12,18,0.0427
1,19,0.0542
2,19,0.0637
3,19,0.0707
4,19,0.0732
5,19,0.0707
6,19,0.0637
7,19,0.0542
8,19,0.0447
9,19,0.0378
10,19,0.0352
11,19,0.0378
12,19,0.0447
1,20,0.056
2,20,0.0656
3,20,0.0725
4,20,0.075
5,20,0.0725
6,20,0.0656
7,20,0.056
8,20,0.0466
9,20,0.0396
10,20,0.0371
11,20,0.0396
12,20,0.0465
1,21,0.0576
2,21,0.0671
3,21,0.0741
4,21,0.0766
5,21,0.0741
6,21,0.0671
7,21,0.0576
8,21,0.0481
9,21,0.0412
10,21,0.0386
11,21,0.0412
12,21,0.0481
1,22,0.0588
2,22,0.0683
3,22,0.0753
4,22,0.0778
5,22,0.0753
6,22,0.0683
7,22,0.0588
8,22,0.0493
9,22,0.0424
10,22,0.0398
11,22,0.0424
12,22,0.0493
1,23,0.0596
2,23,0.0691
3,23,0.076
4,23,0.0786
5,23,0.076
6,23,0.0691
7,23,0.0596
8,23,0.0501
9,23,0.0431
10,23,0.0406
11,23,0.0431
12,23,0.0501
