month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0724
2,1,0.0828
3,1,0.0905
4,1,0.0932
5,1,0.0905
6,1,0.0828
7,1,0.0724
8,1,0.062
9,1,0.0544
10,1,0.0516
11,1,0.0544
12,1,0.062
1,2,0.0714
2,2,0.0818
3,2,0.0894
4,2,0.0922
5,2,0.0894
6,2,0.0818
7,2,0.0714
8,2,0.061
9,2,0.0534
10,2,0.0506
11,2,0.0534
12,2,0.061
1,3,0.0698
2,3,0.0802
3,3,0.0878
4,3,0.0906
5,3,0.0878
6,3,0.0802
7,3,0.0698
8,3,0.0594
9,3,0.0517
10,3,0.049
11,3,0.0517
12,3,0.0594
1,4,0.0676
2,4,0.078
3,4,0.0856
4,4,0.0884
5,4,0.0856
6,4,0.078
7,4,0.0676
8,4,0.0572
9,4,0.0496
10,4,0.0468
11,4,0.0496
12,4,0.0572
1,5,0.0651
2,5,0.0755
3,5,0.0831
4,5,0.0859
5,5,0.0831
6,5,0.0755
7,5,0.0651
8,5,0.0547
9,5,0.0471
10,5,0.0443
11,5,0.0471
12,5,0.0547
1,6,0.0624
2,6,0.0728
3,6,0.0804
4,6,0.0832
5,6,0.0804
6,6,0.0728
7,6,0.0624
8,6,0.052
9,6,0.0444
10,6,0.0416
11,6,0.0444
12,6,0.052
1,7,0.0597
2,7,0.0701
3,7,0.0777
4,7,0.0805
5,7,0.0777
6,7,0.0701
7,7,0.0597
8,7,0.0493
9,7,0.0417
10,7,0.0389
11,7,0.0417
12,7,0.0493
1,8,0.0572
2,8,0.0676
3,8,0.0752
4,8,0.078
5,8,0.0752
6,8,0.0676
7,8,0.0572
8,8,0.0468
9,8,0.0392
10,8,0.0364
11,8,0.0392
12,8,0.0468
1,9,0.055
2,9,0.0654
3,9,0.0731
4,9,0.0758
5,9,0.0731
6,9,0.0654
7,9,0.055
8,9,0.0446
9,9,0.037
10,9,0.0342
11,9,0.037
12,9,0.0446
1,10,0.0534
2,10,0.0638
3,10,0.0714
4,10,0.0742
5,10,0.0714
6,10,0.0638
7,10,0.0534
8,10,0.043
9,10,0.0354
10,10,0.0326
11,10,0.0354
12,10,0.043
1,11,0.0524
2,11,0.0628
3,11,0.0704
4,11,0.0732
5,11,0.0704
6,11,0.0628
7,11,0.0524
8,11,0.042
9,11,0.0343
10,11,0.0316
11,11,0.0343
12,11,0.042
1,12,0.052
2,12,0.0624
3,12,0.07
4,12,0.0728
5,12,0.07
6,12,0.0624
7,12,0.052
8,12,0.0416
9,12,0.034
10,12,0.0312
11,12,0.034
12,12,0.0416
1,13,0.0524
2,13,0.0628
3,13,0.0704
4,13,0.0732
5,13,0.0704
6,13,0.0628
7,13,0.0524
8,13,0.042
9,13,0.0343
10,13,0.0316
11,13,0.0343
12,13,0.042
1,14,0.0534
2,14,0.0638
3,14,0.0714
4,14,0.0742
5,14,0.0714
6,14,0.0638
7,14,0.0534
8,14,0.043
9,14,0.0354
10,14,0.0326
11,14,0.0354
12,14,0.043
1,15,0.055
2,15,0.0654
3,15,0.0731
4,15,0.0758
5,15,0.0731
6,15,0.0654
7,15,0.055
8,15,0.0446
9,15,0.037
10,15,0.0342
11,15,0.037
12,15,0.0446
1,16,0.0572
2,16,0.0676
3,16,0.0752
4,16,0.078
5,16,0.0752
6,16,0.0676
7,16,0.0572
8,16,0.0468
9,16,0.0392
10,16,0.0364
11,16,0.0392
12,16,0.0468
1,17,0.0597
2,17,0.0701
3,17,0.0777
4,17,0.0805
5,17,0.0777
6,17,0.0701
7,17,0.0597
8,17,0.0493
9,17,0.0417
10,17,0.0389
11,17,0.0417
12,17,0.0493
1,18,0.0624
2,18,0.0728
3,18,0.0804
4,18,0.0832
5,18,0.0804
6,18,0.0728
7,18,0.0624
8,18,0.052
9,18,0.0444
10,18,0.0416
11,18,0.0444
12,18,0.052
1,19,0.0651
2,19,0.0755
3,19,0.0831
4,19,0.0859
5,19,0.0831
6,19,0.0755
7,19,0.0651
8,19,0.0547
9,19,0.0471
10,19,0.0443
11,19,0.0471
12,19,0.0547
1,20,0.0676
2,20,0.078
3,20,0.0856
4,20,0.0884
5,20,0.0856
6,20,0.078
7,20,0.0676
8,20,0.0572
9,20,0.0496
10,20,0.0468
11,20,0.0496
12,20,0.0572
1,21,0.0698
2,21,0.0802
3,21,0.0878
4,21,0.0906
5,21,0.0878
6,21,0.0802
7,21,0.0698
8,21,0.0594
9,21,0.0517
10,21,0.049
11,21,0.0517
12,21,0.0594
1,22,0.0714
2,22,0.0818
3,22,0.0894
4,22,0.0922
5,22,0.0894
6,22,0.0818
7,22,0.0714
8,22,0.061
9,22,0.0534
10,22,0.0506
11,22,0.0534
12,22,0.061
1,23,0.0724
2,23,0.0828
3,23,0.0905
4,23,0.0932
5,23,0.0905
6,23,0.0828
7,23,0.0724
8,23,0.062
9,23,0.0544
10,23,0.0516
11,23,0.0544
12,23,0.062
