month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0738
2,1,0.087
3,1,0.0967
4,1,0.1003
5,1,0.0967
6,1,0.087
7,1,0.0738
8,1,0.0605
9,1,0.0508
10,1,0.0473
11,1,0.0508
12,1,0.0605
1,2,0.0725
2,2,0.0857
3,2,0.0954
4,2,0.099
5,2,0.0954
6,2,0.0857
7,2,0.0725
8,2,0.0592
9,2,0.0495
10,2,0.046
11,2,0.0495
12,2,0.0592
1,3,0.0705
2,3,0.0837
3,3,0.0934
4,3,0.097
5,3,0.0934
6,3,0.0837
7,3,0.0705
8,3,0.0572
9,3,0.0475
10,3,0.044
11,3,0.0475
12,3,0.0572
1,4,0.0678
2,4,0.0811
3,4,0.0908
4,4,0.0943
5,4,0.0908
6,4,0.0811
7,4,0.0678
8,4,0.0546
9,4,0.0449
10,4,0.0413
11,4,0.0449
12,4,0.0546
1,5,0.0648
2,5,0.078
3,5,0.0877
4,5,0.0913
5,5,0.0877
6,5,0.078
7,5,0.0648
8,5,0.0515
9,5,0.0418
10,5,0.0383
11,5,0.0418
12,5,0.0515
1,6,0.0615
2,6,0.0747
3,6,0.0844
4,6,0.088
5,6,0.0844
6,6,0.0747
7,6,0.0615
8,6,0.0482
9,6,0.0385
10,6,0.035
11,6,0.0385
12,6,0.0482
1,7,0.0582
2,7,0.0714
3,7,0.0811
4,7,0.0847
5,7,0.0811
6,7,0.0714
7,7,0.0582
8,7,0.0449
9,7,0.0352
10,7,0.0317
11,7,0.0352
12,7,0.0449
1,8,0.0551
2,8,0.0684
3,8,0.0781
4,8,0.0816
5,8,0.0781
6,8,0.0684
7,8,0.0551
8,8,0.0419
9,8,0.0322
10,8,0.0286
11,8,0.0322
12,8,0.0419
1,9,0.0525
2,9,0.0657
3,9,0.0754
4,9,0.079
5,9,0.0754
6,9,0.0657
7,9,0.0525
8,9,0.0392
9,9,0.0295
10,9,0.026
11,9,0.0295
12,9,0.0392
1,10,0.0505
2,10,0.0637
3,10,0.0734
4,10,0.077
5,10,0.0734
6,10,0.0637
7,10,0.0505
8,10,0.0372
9,10,0.0275
10,10,0.024
11,10,0.0275
12,10,0.0372
1,11,0.0492
2,11,0.0624
3,11,0.0721
4,11,0.0757
5,11,0.0721
6,11,0.0624
7,11,0.0492
8,11,0.0359
9,11,0.0262
10,11,0.0227
11,11,0.0262
12,11,0.0359
1,12,0.0488
2,12,0.062
3,12,0.0717
4,12,0.0753
5,12,0.0717
6,12,0.062
7,12,0.0488
8,12,0.0355
9,12,0.0258
10,12,0.0223
11,12,0.0258
12,12,0.0355
1,13,0.0492
2,13,0.0624
3,13,0.0721
4,13,0.0757
5,13,0.0721
6,13,0.0624
7,13,0.0492
8,13,0.0359
9,13,0.0262
10,13,0.0227
11,13,0.0262
12,13,0.0359
1,14,0.0505
2,14,0.0637
3,14,0.0734
4,14,0.077
5,14,0.0734
6,14,0.0637
7,14,0.0505
8,14,0.0372
9,14,0.0275
10,14,0.024
11,14,0.0275
12,14,0.0372
1,15,0.0525
2,15,0.0657
3,15,0.0754
4,15,0.079
5,15,0.0754
6,15,0.0657
7,15,0.0525
8,15,0.0392
9,15,0.0295
10,15,0.026
11,15,0.0295
12,15,0.0392
1,16,0.0551
2,16,0.0684
3,16,0.0781
4,16,0.0816
5,16,0.0781
6,16,0.0684
7,16,0.0551
8,16,0.0419
9,16,0.0322
10,16,0.0286
11,16,0.0322
12,16,0.0419
1,17,0.0582
2,17,0.0714
3,17,0.0811
4,17,0.0847
5,17,0.0811
6,17,0.0714
7,17,0.0582
8,17,0.0449
9,17,0.0352
10,17,0.0317
11,17,0.0352
12,17,0.0449
1,18,0.0615
2,18,0.0747
3,18,0.0844
4,18,0.088
5,18,0.0844
6,18,0.0747
7,18,0.0615
8,18,0.0482
9,18,0.0385
10,18,0.035
11,18,0.0385
12,18,0.0482
1,19,0.0648
2,19,0.078
3,19,0.0877
4,19,0.0913
5,19,0.0877
6,19,0.078
7,19,0.0648
8,19,0.0515
9,19,0.0418
10,19,0.0383
11,19,0.0418
12,19,0.0515
1,20,0.0678
2,20,0.0811
3,20,0.0908
4,20,0.0943
5,20,0.0908
6,20,0.0811
7,20,0.0678
8,20,0.0546
9,20,0.0449
10,20,0.0413
11,20,0.0449
12,20,0.0546
1,21,0.0705
2,21,0.0837
3,21,0.0934
4,21,0.097
5,21,0.0934
6,21,0.0837
7,21,0.0705
8,21,0.0572
9,21,0.0475
10,21,0.044
11,21,0.0475
12,21,0.0572
1,22,0.0725
2,22,0.0857
3,22,0.0954
4,22,0.099
5,22,0.0954
6,22,0.0857
7,22,0.0725
8,22,0.0592
9,22,0.0495
10,22,0.046
11,22,0.0495
12,22,0.0592
1,23,0.0738
2,23,0.087
3,23,0.0967
4,23,0.1003
5,23,0.0967
6,23,0.087
7,23,0.0738
8,23,0.0605
9,23,0.0508
10,23,0.0473
11,23,0.0508
12,23,0.0605
