Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0759,0.0745,0.0725,0.0698,0.0666,0.0632,0.0598,0.0567,0.054,0.0519,0.0506,0.0501,0.0506,0.0519,0.054,0.0567,0.0598,0.0632,0.0666,0.0698,0.0725,0.0745,0.0759,0.0763
Feb,0.0895,0.0882,0.0861,0.0834,0.0802,0.0768,0.0735,0.0703,0.0676,0.0655,0.0642,0.0638,0.0642,0.0655,0.0676,0.0703,0.0735,0.0768,0.0802,0.0834,0.0861,0.0882,0.0895,0.0899
Mar,0.0995,0.0981,0.0961,0.0934,0.0902,0.0868,0.0834,0.0803,0.0776,0.0755,0.0742,0.0737,0.0742,0.0755,0.0776,0.0803,0.0834,0.0868,0.0902,0.0934,0.0961,0.0981,0.0995,0.0999
Apr,0.1031,0.1018,0.0997,0.097,0.0939,0.0905,0.0871,0.0839,0.0812,0.0791,0.0778,0.0774,0.0778,0.0791,0.0812,0.0839,0.0871,0.0905,0.0939,0.097,0.0997,0.1018,0.1031,0.1036
May,0.0995,0.0981,0.0961,0.0934,0.0902,0.0868,0.0834,0.0803,0.0776,0.0755,0.0742,0.0737,0.0742,0.0755,0.0776,0.0803,0.0834,0.0868,0.0902,0.0934,0.0961,0.0981,0.0995,0.0999
Jun,0.0895,0.0882,0.0861,0.0834,0.0802,0.0768,0.0735,0.0703,0.0676,0.0655,0.0642,0.0638,0.0642,0.0655,0.0676,0.0703,0.0735,0.0768,0.0802,0.0834,0.0861,0.0882,0.0895,0.0899
Jul,0.0759,0.0745,0.0725,0.0698,0.0666,0.0632,0.0598,0.0567,0.054,0.0519,0.0506,0.0501,0.0506,0.0519,0.054,0.0567,0.0598,0.0632,0.0666,0.0698,0.0725,0.0745,0.0759,0.0763
Aug,0.0622,0.0609,0.0588,0.0561,0.053,0.0496,0.0462,0.0431,0.0403,0.0383,0.037,0.0365,0.037,0.0383,0.0403,0.0431,0.0462,0.0496,0.053,0.0561,0.0588,0.0609,0.0622,0.0627
Sep,0.0523,0.0509,0.0489,0.0462,0.043,0.0396,0.0362,0.0331,0.0304,0.0283,0.027,0.0265,0.027,0.0283,0.0304,0.0331,0.0362,0.0396,0.043,0.0462,0.0489,0.0509,0.0523,0.0527
Oct,0.0486,0.0473,0.0452,0.0425,0.0394,0.036,0.0326,0.0294,0.0267,0.0246,0.0233,0.0229,0.0233,0.0246,0.0267,0.0294,0.0326,0.036,0.0394,0.0425,0.0452,0.0473,0.0486,0.0491
Nov,0.0523,0.0509,0.0489,0.0462,0.043,0.0396,0.0362,0.0331,0.0304,0.0283,0.027,0.0265,0.027,0.0283,0.0304,0.0331,0.0362,0.0396,0.043,0.0462,0.0489,0.0509,0.0523,0.0527
Dec,0.0622,0.0609,0.0588,0.0561,0.053,0.0496,0.0462,0.0431,0.0403,0.0383,0.037,0.0365,0.037,0.0383,0.0403,0.0431,0.0462,0.0496,0.053,0.0561,0.0588,0.0609,0.0622,0.0627
