Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0738,0.0728,0.0711,0.0689,0.0663,0.0636,0.0609,0.0583,0.0561,0.0544,0.0534,0.053,0.0534,0.0544,0.0561,0.0583,0.0609,0.0636,0.0663,0.0689,0.0711,0.0728,0.0738,0.0742
Feb,0.0844,0.0834,0.0817,0.0795,0.0769,0.0742,0.0715,0.0689,0.0667,0.065,0.064,0.0636,0.064,0.065,0.0667,0.0689,0.0715,0.0742,0.0769,0.0795,0.0817,0.0834,0.0844,0.0848
Mar,0.0922,0.0911,0.0895,0.0873,0.0847,0.082,0.0792,0.0767,0.0745,0.0728,0.0717,0.0714,0.0717,0.0728,0.0745,0.0767,0.0792,0.082,0.0847,0.0873,0.0895,0.0911,0.0922,0.0926
Apr,0.095,0.094,0.0923,0.0901,0.0875,0.0848,0.0821,0.0795,0.0773,0.0756,0.0746,0.0742,0.0746,0.0756,0.0773,0.0795,0.0821,0.0848,0.0875,0.0901,0.0923,0.094,0.095,0.0954
May,0.0922,0.0911,0.0895,0.0873,0.0847,0.082,0.0792,0.0767,0.0745,0.0728,0.0717,0.0714,0.0717,0.0728,0.0745,0.0767,0.0792,0.082,0.0847,0.0873,0.0895,0.0911,0.0922,0.0926
Jun,0.0844,0.0834,0.0817,0.0795,0.0769,0.0742,0.0715,0.0689,0.0667,0.065,0.064,0.0636,0.064,0.065,0.0667,0.0689,0.0715,0.0742,0.0769,0.0795,0.0817,0.0834,0.0844,0.0848
Jul,0.0738,0.0728,0.0711,0.0689,0.0663,0.0636,0.0609,0.0583,0.0561,0.0544,0.0534,0.053,0.0534,0.0544,0.0561,0.0583,0.0609,0.0636,0.0663,0.0689,0.0711,0.0728,0.0738,0.0742
Aug,0.0632,0.0622,0.0605,0.0583,0.0557,0.053,0.0503,0.0477,0.0455,0.0438,0.0428,0.0424,0.0428,0.0438,0.0455,0.0477,0.0503,0.053,0.0557,0.0583,0.0605,0.0622,0.0632,0.0636
Sep,0.0555,0.0544,0.0527,0.0505,0.048,0.0452,0.0425,0.0399,0.0377,0.0361,0.035,0.0346,0.035,0.0361,0.0377,0.0399,0.0425,0.0452,0.048,0.0505,0.0527,0.0544,0.0555,0.0558
Oct,0.0526,0.0516,0.0499,0.0477,0.0451,0.0424,0.0397,0.0371,0.0349,0.0332,0.0322,0.0318,0.0322,0.0332,0.0349,0.0371,0.0397,0.0424,0.0451,0.0477,0.0499,0.0516,0.0526,0.053
Nov,0.0555,0.0544,0.0527,0.0505,0.048,0.0452,0.0425,0.0399,0.0377,0.0361,0.035,0.0346,0.035,0.0361,0.0377,0.0399,0.0425,0.0452,0.048,0.0505,0.0527,0.0544,0.0555,0.0558
Dec,0.0632,0.0622,0.0605,0.0583,0.0557,0.053,0.0503,0.0477,0.0455,0.0438,0.0428,0.0424,0.0428,0.0438,0.0455,0.0477,0.0503,0.053,0.0557,0.0583,0.0605,0.0622,0.0632,0.0636
