Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.078,0.0769,0.0751,0.0728,0.0701,0.0672,0.0643,0.0616,0.0593,0.0575,0.0564,0.056,0.0564,0.0575,0.0593,0.0616,0.0643,0.0672,0.0701,0.0728,0.0751,0.0769,0.078,0.0784
Feb,0.0892,0.0881,0.0863,0.084,0.0813,0.0784,0.0755,0.0728,0.0705,0.0687,0.0676,0.0672,0.0676,0.0687,0.0705,0.0728,0.0755,0.0784,0.0813,0.084,0.0863,0.0881,0.0892,0.0896
Mar,0.0974,0.0963,0.0945,0.0922,0.0895,0.0866,0.0837,0.081,0.0787,0.0769,0.0758,0.0754,0.0758,0.0769,0.0787,0.081,0.0837,0.0866,0.0895,0.0922,0.0945,0.0963,0.0974,0.0978
Apr,0.1004,0.0993,0.0975,0.0952,0.0925,0.0896,0.0867,0.084,0.0817,0.0799,0.0788,0.0784,0.0788,0.0799,0.0817,0.084,0.0867,0.0896,0.0925,0.0952,0.0975,0.0993,0.1004,0.1008
May,0.0974,0.0963,0.0945,0.0922,0.0895,0.0866,0.0837,0.081,0.0787,0.0769,0.0758,0.0754,0.0758,0.0769,0.0787,0.081,0.0837,0.0866,0.0895,0.0922,0.0945,0.0963,0.0974,0.0978
Jun,0.0892,0.0881,0.0863,0.084,0.0813,0.0784,0.0755,0.0728,0.0705,0.0687,0.0676,0.0672,0.0676,0.0687,0.0705,0.0728,0.0755,0.0784,0.0813,0.084,0.0863,0.0881,0.0892,0.0896
Jul,0.078,0.0769,0.0751,0.0728,0.0701,0.0672,0.0643,0.0616,0.0593,0.0575,0.0564,0.056,0.0564,0.0575,0.0593,0.0616,0.0643,0.0672,0.0701,0.0728,0.0751,0.0769,0.078,0.0784
Aug,0.0668,0.0657,0.0639,0.0616,0.0589,0.056,0.0531,0.0504,0.0481,0.0463,0.0452,0.0448,0.0452,0.0463,0.0481,0.0504,0.0531,0.056,0.0589,0.0616,0.0639,0.0657,0.0668,0.0672
Sep,0.0586,0.0575,0.0557,0.0534,0.0507,0.0478,0.0449,0.0422,0.0399,0.0381,0.037,0.0366,0.037,0.0381,0.0399,0.0422,0.0449,0.0478,0.0507,0.0534,0.0557,0.0575,0.0586,0.059
Oct,0.0556,0.0545,0.0527,0.0504,0.0477,0.0448,0.0419,0.0392,0.0369,0.0351,0.034,0.0336,0.034,0.0351,0.0369,0.0392,0.0419,0.0448,0.0477,0.0504,0.0527,0.0545,0.0556,0.056
Nov,0.0586,0.0575,0.0557,0.0534,0.0507,0.0478,0.0449,0.0422,0.0399,0.0381,0.037,0.0366,0.037,0.0381,0.0399,0.0422,0.0449,0.0478,0.0507,0.0534,0.0557,0.0575,0.0586,0.059
Dec,0.0668,0.0657,0.0639,0.0616,0.0589,0.056,0.0531,0.0504,0.0481,0.0463,0.0452,0.0448,0.0452,0.0463,0.0481,0.0504,0.0531,0.056,0.0589,0.0616,0.0639,0.0657,0.0668,0.0672
