Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0766,0.0755,0.0738,0.0715,0.0688,0.066,0.0632,0.0605,0.0582,0.0565,0.0554,0.055,0.0554,0.0565,0.0582,0.0605,0.0632,0.066,0.0688,0.0715,0.0738,0.0755,0.0766,0.077
Feb,0.0876,0.0865,0.0848,0.0825,0.0798,0.077,0.0742,0.0715,0.0692,0.0675,0.0664,0.066,0.0664,0.0675,0.0692,0.0715,0.0742,0.077,0.0798,0.0825,0.0848,0.0865,0.0876,0.088
Mar,0.0957,0.0946,0.0928,0.0906,0.0879,0.0851,0.0822,0.0796,0.0773,0.0755,0.0744,0.0741,0.0744,0.0755,0.0773,0.0796,0.0822,0.0851,0.0879,0.0906,0.0928,0.0946,0.0957,0.0961
Apr,0.0986,0.0975,0.0958,0.0935,0.0908,0.088,0.0852,0.0825,0.0802,0.0785,0.0774,0.077,0.0774,0.0785,0.0802,0.0825,0.0852,0.088,0.0908,0.0935,0.0958,0.0975,0.0986,0.099
May,0.0957,0.0946,0.0928,0.0906,0.0879,0.0851,0.0822,0.0796,0.0773,0.0755,0.0744,0.0741,0.0744,0.0755,0.0773,0.0796,0.0822,0.0851,0.0879,0.0906,0.0928,0.0946,0.0957,0.0961
Jun,0.0876,0.0865,0.0848,0.0825,0.0798,0.077,0.0742,0.0715,0.0692,0.0675,0.0664,0.066,0.0664,0.0675,0.0692,0.0715,0.0742,0.077,0.0798,0.0825,0.0848,0.0865,0.0876,0.088
Jul,0.0766,0.0755,0.0738,0.0715,0.0688,0.066,0.0632,0.0605,0.0582,0.0565,0.0554,0.055,0.0554,0.0565,0.0582,0.0605,0.0632,0.066,0.0688,0.0715,0.0738,0.0755,0.0766,0.077
Aug,0.0656,0.0645,0.0628,0.0605,0.0578,0.055,0.0522,0.0495,0.0472,0.0455,0.0444,0.044,0.0444,0.0455,0.0472,0.0495,0.0522,0.055,0.0578,0.0605,0.0628,0.0645,0.0656,0.066
Sep,0.0576,0.0565,0.0547,0.0524,0.0498,0.0469,0.0441,0.0414,0.0392,0.0374,0.0363,0.0359,0.0363,0.0374,0.0392,0.0414,0.0441,0.0469,0.0498,0.0524,0.0547,0.0565,0.0576,0.0579
Oct,0.0546,0.0535,0.0518,0.0495,0.0468,0.044,0.0412,0.0385,0.0362,0.0345,0.0334,0.033,0.0334,0.0345,0.0362,0.0385,0.0412,0.044,0.0468,0.0495,0.0518,0.0535,0.0546,0.055
Nov,0.0576,0.0565,0.0547,0.0524,0.0498,0.0469,0.0441,0.0414,0.0392,0.0374,0.0363,0.0359,0.0363,0.0374,0.0392,0.0414,0.0441,0.0469,0.0498,0.0524,0.0547,0.0565,0.0576,0.0579
Dec,0.0656,0.0645,0.0628,0.0605,0.0578,0.055,0.0522,0.0495,0.0472,0.0455,0.0444,0.044,0.0444,0.0455,0.0472,0.0495,0.0522,0.055,0.0578,0.0605,0.0628,0.0645,0.0656,0.066
