Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0808,0.0796,0.0778,0.0754,0.0726,0.0696,0.0666,0.0638,0.0614,0.0596,0.0584,0.058,0.0584,0.0596,0.0614,0.0638,0.0666,0.0696,0.0726,0.0754,0.0778,0.0796,0.0808,0.0812
Feb,0.0924,0.0912,0.0894,0.087,0.0842,0.0812,0.0782,0.0754,0.073,0.0712,0.07,0.0696,0.07,0.0712,0.073,0.0754,0.0782,0.0812,0.0842,0.087,0.0894,0.0912,0.0924,0.0928
Mar,0.1009,0.0997,0.0979,0.0955,0.0927,0.0897,0.0867,0.0839,0.0815,0.0796,0.0785,0.0781,0.0785,0.0796,0.0815,0.0839,0.0867,0.0897,0.0927,0.0955,0.0979,0.0997,0.1009,0.1013
Apr,0.104,0.1028,0.101,0.0986,0.0958,0.0928,0.0898,0.087,0.0846,0.0828,0.0816,0.0812,0.0816,0.0828,0.0846,0.087,0.0898,0.0928,0.0958,0.0986,0.101,0.1028,0.104,0.1044
May,0.1009,0.0997,0.0979,0.0955,0.0927,0.0897,0.0867,0.0839,0.0815,0.0796,0.0785,0.0781,0.0785,0.0796,0.0815,0.0839,0.0867,0.0897,0.0927,0.0955,0.0979,0.0997,0.1009,0.1013
Jun,0.0924,0.0912,0.0894,0.087,0.0842,0.0812,0.0782,0.0754,0.073,0.0712,0.07,0.0696,0.07,0.0712,0.073,0.0754,0.0782,0.0812,0.0842,0.087,0.0894,0.0912,0.0924,0.0928
Jul,0.0808,0.0796,0.0778,0.0754,0.0726,0.0696,0.0666,0.0638,0.0614,0.0596,0.0584,0.058,0.0584,0.0596,0.0614,0.0638,0.0666,0.0696,0.0726,0.0754,0.0778,0.0796,0.0808,0.0812
Aug,0.0692,0.068,0.0662,0.0638,0.061,0.058,0.055,0.0522,0.0498,0.048,0.0468,0.0464,0.0468,0.048,0.0498,0.0522,0.055,0.058,0.061,0.0638,0.0662,0.068,0.0692,0.0696
Sep,0.0607,0.0596,0.0577,0.0553,0.0525,0.0495,0.0465,0.0437,0.0413,0.0395,0.0383,0.0379,0.0383,0.0395,0.0413,0.0437,0.0465,0.0495,0.0525,0.0553,0.0577,0.0596,0.0607,0.0611
Oct,0.0576,0.0564,0.0546,0.0522,0.0494,0.0464,0.0434,0.0406,0.0382,0.0364,0.0352,0.0348,0.0352,0.0364,0.0382,0.0406,0.0434,0.0464,0.0494,0.0522,0.0546,0.0564,0.0576,0.058
Nov,0.0607,0.0596,0.0577,0.0553,0.0525,0.0495,0.0465,0.0437,0.0413,0.0395,0.0383,0.0379,0.0383,0.0395,0.0413,0.0437,0.0465,0.0495,0.0525,0.0553,0.0577,0.0596,0.0607,0.0611
Dec,0.0692,0.068,0.0662,0.0638,0.061,0.058,0.055,0.0522,0.0498,0.048,0.0468,0.0464,0.0468,0.048,0.0498,0.0522,0.055,0.058,0.061,0.0638,0.0662,0.068,0.0692,0.0696
