Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0613,0.0604,0.059,0.0572,0.0551,0.0528,0.0505,0.0484,0.0466,0.0452,0.0443,0.044,0.0443,0.0452,0.0466,0.0484,0.0505,0.0528,0.0551,0.0572,0.059,0.0604,0.0613,0.0616
Feb,0.0701,0.0692,0.0678,0.066,0.0639,0.0616,0.0593,0.0572,0.0554,0.054,0.0531,0.0528,0.0531,0.054,0.0554,0.0572,0.0593,0.0616,0.0639,0.066,0.0678,0.0692,0.0701,0.0704
Mar,0.0765,0.0757,0.0743,0.0724,0.0703,0.068,0.0658,0.0636,0.0618,0.0604,0.0595,0.0592,0.0595,0.0604,0.0618,0.0636,0.0658,0.068,0.0703,0.0724,0.0743,0.0757,0.0765,0.0768
Apr,0.0789,0.078,0.0766,0.0748,0.0727,0.0704,0.0681,0.066,0.0642,0.0628,0.0619,0.0616,0.0619,0.0628,0.0642,0.066,0.0681,0.0704,0.0727,0.0748,0.0766,0.078,0.0789,0.0792
May,0.0765,0.0757,0.0743,0.0724,0.0703,0.068,0.0658,0.0636,0.0618,0.0604,0.0595,0.0592,0.0595,0.0604,0.0618,0.0636,0.0658,0.068,0.0703,0.0724,0.0743,0.0757,0.0765,0.0768
Jun,0.0701,0.0692,0.0678,0.066,0.0639,0.0616,0.0593,0.0572,0.0554,0.054,0.0531,0.0528,0.0531,0.054,0.0554,0.0572,0.0593,0.0616,0.0639,0.066,0.0678,0.0692,0.0701,0.0704
Jul,0.0613,0.0604,0.059,0.0572,0.0551,0.0528,0.0505,0.0484,0.0466,0.0452,0.0443,0.044,0.0443,0.0452,0.0466,0.0484,0.0505,0.0528,0.0551,0.0572,0.059,0.0604,0.0613,0.0616
Aug,0.0525,0.0516,0.0502,0.0484,0.0463,0.044,0.0417,0.0396,0.0378,0.0364,0.0355,0.0352,0.0355,0.0364,0.0378,0.0396,0.0417,0.044,0.0463,0.0484,0.0502,0.0516,0.0525,0.0528
Sep,0.0461,0.0452,0.0438,0.042,0.0398,0.0376,0.0353,0.0332,0.0313,0.0299,0.0291,0.0288,0.0291,0.0299,0.0313,0.0332,0.0353,0.0376,0.0398,0.042,0.0438,0.0452,0.0461,0.0464
Oct,0.0437,0.0428,0.0414,0.0396,0.0375,0.0352,0.0329,0.0308,0.029,0.0276,0.0267,0.0264,0.0267,0.0276,0.029,0.0308,0.0329,0.0352,0.0375,0.0396,0.0414,0.0428,0.0437,0.044
Nov,0.0461,0.0452,0.0438,0.042,0.0398,0.0376,0.0353,0.0332,0.0313,0.0299,0.0291,0.0288,0.0291,0.0299,0.0313,0.0332,0.0353,0.0376,0.0398,0.042,0.0438,0.0452,0.0461,0.0464
Dec,0.0525,0.0516,0.0502,0.0484,0.0463,0.044,0.0417,0.0396,0.0378,0.0364,0.0355,0.0352,0.0355,0.0364,0.0378,0.0396,0.0417,0.044,0.0463,0.0484,0.0502,0.0516,0.0525,0.0528
