Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0655,0.0645,0.063,0.0611,0.0588,0.0564,0.054,0.0517,0.0498,0.0483,0.0473,0.047,0.0473,0.0483,0.0498,0.0517,0.054,0.0564,0.0588,0.0611,0.063,0.0645,0.0655,0.0658
Feb,0.0749,0.0739,0.0724,0.0705,0.0682,0.0658,0.0634,0.0611,0.0592,0.0577,0.0567,0.0564,0.0567,0.0577,0.0592,0.0611,0.0634,0.0658,0.0682,0.0705,0.0724,0.0739,0.0749,0.0752
Mar,0.0818,0.0808,0.0793,0.0774,0.0751,0.0727,0.0702,0.068,0.066,0.0645,0.0636,0.0633,0.0636,0.0645,0.066,0.068,0.0702,0.0727,0.0751,0.0774,0.0793,0.0808,0.0818,0.0821
Apr,0.0843,0.0833,0.0818,0.0799,0.0776,0.0752,0.0728,0.0705,0.0686,0.0671,0.0661,0.0658,0.0661,0.0671,0.0686,0.0705,0.0728,0.0752,0.0776,0.0799,0.0818,0.0833,0.0843,0.0846
May,0.0818,0.0808,0.0793,0.0774,0.0751,0.0727,0.0702,0.068,0.066,0.0645,0.0636,0.0633,0.0636,0.0645,0.066,0.068,0.0702,0.0727,0.0751,0.0774,0.0793,0.0808,0.0818,0.0821
Jun,0.0749,0.0739,0.0724,0.0705,0.0682,0.0658,0.0634,0.0611,0.0592,0.0577,0.0567,0.0564,0.0567,0.0577,0.0592,0.0611,0.0634,0.0658,0.0682,0.0705,0.0724,0.0739,0.0749,0.0752
Jul,0.0655,0.0645,0.063,0.0611,0.0588,0.0564,0.054,0.0517,0.0498,0.0483,0.0473,0.047,0.0473,0.0483,0.0498,0.0517,0.054,0.0564,0.0588,0.0611,0.063,0.0645,0.0655,0.0658
Aug,0.0561,0.0551,0.0536,0.0517,0.0494,0.047,0.0446,0.0423,0.0404,0.0389,0.0379,0.0376,0.0379,0.0389,0.0404,0.0423,0.0446,0.047,0.0494,0.0517,0.0536,0.0551,0.0561,0.0564
Sep,0.0492,0.0483,0.0468,0.0448,0.0426,0.0401,0.0377,0.0354,0.0335,0.032,0.031,0.0307,0.031,0.032,0.0335,0.0354,0.0377,0.0401,0.0426,0.0448,0.0468,0.0483,0.0492,0.0495
Oct,0.0467,0.0457,0.0442,0.0423,0.04,0.0376,0.0352,0.0329,0.031,0.0295,0.0285,0.0282,0.0285,0.0295,0.031,0.0329,0.0352,0.0376,0.04,0.0423,0.0442,0.0457,0.0467,0.047
Nov,0.0492,0.0483,0.0468,0.0448,0.0426,0.0401,0.0377,0.0354,0.0335,0.032,0.031,0.0307,0.031,0.032,0.0335,0.0354,0.0377,0.0401,0.0426,0.0448,0.0468,0.0483,0.0492,0.0495
Dec,0.0561,0.0551,0.0536,0.0517,0.0494,0.047,0.0446,0.0423,0.0404,0.0389,0.0379,0.0376,0.0379,0.0389,0.0404,0.0423,0.0446,0.047,0.0494,0.0517,0.0536,0.0551,0.0561,0.0564
