Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0659,0.065,0.0637,0.062,0.0599,0.0578,0.0556,0.0536,0.0518,0.0505,0.0496,0.0494,0.0496,0.0505,0.0518,0.0536,0.0556,0.0578,0.0599,0.062,0.0637,0.065,0.0659,0.0662
Feb,0.0764,0.0755,0.0742,0.0725,0.0704,0.0682,0.0661,0.0641,0.0623,0.061,0.0601,0.0599,0.0601,0.061,0.0623,0.064,0.0661,0.0682,0.0704,0.0725,0.0742,0.0755,0.0764,0.0767
Mar,0.0841,0.0832,0.0819,0.0801,0.0781,0.0759,0.0738,0.0717,0.07,0.0687,0.0678,0.0675,0.0678,0.0687,0.07,0.0717,0.0738,0.0759,0.0781,0.0801,0.0819,0.0832,0.0841,0.0843
Apr,0.0869,0.086,0.0847,0.083,0.0809,0.0788,0.0766,0.0745,0.0728,0.0715,0.0706,0.0704,0.0706,0.0715,0.0728,0.0745,0.0766,0.0788,0.0809,0.083,0.0847,0.086,0.0869,0.0871
May,0.0841,0.0832,0.0819,0.0801,0.0781,0.0759,0.0738,0.0717,0.07,0.0687,0.0678,0.0675,0.0678,0.0687,0.07,0.0717,0.0738,0.0759,0.0781,0.0801,0.0819,0.0832,0.0841,0.0843
Jun,0.0764,0.0755,0.0742,0.0725,0.0704,0.0682,0.0661,0.0641,0.0623,0.061,0.0601,0.0599,0.0601,0.061,0.0623,0.064,0.0661,0.0682,0.0704,0.0725,0.0742,0.0755,0.0764,0.0767
Jul,0.0659,0.065,0.0637,0.062,0.0599,0.0578,0.0556,0.0536,0.0518,0.0505,0.0496,0.0494,0.0496,0.0505,0.0518,0.0536,0.0556,0.0578,0.0599,0.062,0.0637,0.065,0.0659,0.0662
Aug,0.0554,0.0545,0.0532,0.0514,0.0494,0.0472,0.0451,0.0431,0.0413,0.04,0.0391,0.0388,0.0391,0.04,0.0413,0.043,0.0451,0.0472,0.0494,0.0514,0.0532,0.0545,0.0554,0.0556
Sep,0.0477,0.0468,0.0455,0.0438,0.0417,0.0396,0.0374,0.0354,0.0336,0.0323,0.0314,0.0312,0.0314,0.0323,0.0336,0.0354,0.0374,0.0396,0.0417,0.0438,0.0455,0.0468,0.0477,0.048
Oct,0.0449,0.044,0.0427,0.041,0.0389,0.0368,0.0346,0.0326,0.0308,0.0295,0.0286,0.0284,0.0286,0.0295,0.0308,0.0326,0.0346,0.0368,0.0389,0.041,0.0427,0.044,0.0449,0.0452
Nov,0.0477,0.0468,0.0455,0.0438,0.0417,0.0396,0.0374,0.0354,0.0336,0.0323,0.0314,0.0312,0.0314,0.0323,0.0336,0.0354,0.0374,0.0396,0.0417,0.0438,0.0455,0.0468,0.0477,0.048
Dec,0.0554,0.0545,0.0532,0.0514,0.0494,0.0472,0.0451,0.043,0.0413,0.04,0.0391,0.0388,0.0391,0.04,0.0413,0.043,0.0451,0.0472,0.0494,0.0514,0.0532,0.0545,0.0554,0.0556
