Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0654,0.0643,0.0625,0.0602,0.0574,0.0545,0.0516,0.0489,0.0465,0.0448,0.0436,0.0432,0.0436,0.0448,0.0465,0.0489,0.0516,0.0545,0.0574,0.0602,0.0625,0.0643,0.0654,0.0658
Feb,0.0772,0.076,0.0742,0.0719,0.0692,0.0663,0.0634,0.0606,0.0583,0.0565,0.0554,0.055,0.0554,0.0565,0.0583,0.0606,0.0634,0.0663,0.0692,0.0719,0.0742,0.076,0.0772,0.0775
Mar,0.0858,0.0846,0.0828,0.0805,0.0778,0.0749,0.072,0.0692,0.0669,0.0651,0.064,0.0636,0.064,0.0651,0.0669,0.0692,0.072,0.0749,0.0778,0.0805,0.0828,0.0846,0.0858,0.0862
Apr,0.0889,0.0878,0.086,0.0837,0.0809,0.078,0.0751,0.0724,0.07,0.0683,0.0671,0.0667,0.0671,0.0683,0.07,0.0724,0.0751,0.078,0.0809,0.0837,0.086,0.0878,0.0889,0.0893
May,0.0858,0.0846,0.0828,0.0805,0.0778,0.0749,0.072,0.0692,0.0669,0.0651,0.064,0.0636,0.064,0.0651,0.0669,0.0692,0.072,0.0749,0.0778,0.0805,0.0828,0.0846,0.0858,0.0862
Jun,0.0772,0.076,0.0742,0.0719,0.0692,0.0663,0.0634,0.0606,0.0583,0.0565,0.0554,0.055,0.0554,0.0565,0.0583,0.0606,0.0634,0.0663,0.0692,0.0719,0.0742,0.076,0.0772,0.0775
Jul,0.0654,0.0643,0.0625,0.0602,0.0574,0.0545,0.0516,0.0489,0.0465,0.0448,0.0436,0.0432,0.0436,0.0448,0.0465,0.0489,0.0516,0.0545,0.0574,0.0602,0.0625,0.0643,0.0654,0.0658
Aug,0.0537,0.0525,0.0507,0.0484,0.0457,0.0428,0.0399,0.0371,0.0348,0.033,0.0319,0.0315,0.0319,0.033,0.0348,0.0371,0.0399,0.0428,0.0457,0.0484,0.0507,0.0525,0.0537,0.054
Sep,0.0451,0.0439,0.0421,0.0398,0.0371,0.0342,0.0312,0.0285,0.0262,0.0244,0.0233,0.0229,0.0233,0.0244,0.0262,0.0285,0.0312,0.0342,0.0371,0.0398,0.0421,0.0439,0.0451,0.0454
Oct,0.0419,0.0408,0.039,0.0367,0.0339,0.031,0.0281,0.0254,0.023,0.0213,0.0201,0.0197,0.0201,0.0213,0.023,0.0254,0.0281,0.031,0.0339,0.0367,0.039,0.0408,0.0419,0.0423
Nov,0.0451,0.0439,0.0421,0.0398,0.0371,0.0342,0.0312,0.0285,0.0262,0.0244,0.0233,0.0229,0.0233,0.0244,0.0262,0.0285,0.0312,0.0342,0.0371,0.0398,0.0421,0.0439,0.0451,0.0454
Dec,0.0537,0.0525,0.0507,0.0484,0.0457,0.0428,0.0399,0.0371,0.0348,0.033,0.0319,0.0315,0.0319,0.033,0.0348,0.0371,0.0399,0.0428,0.0457,0.0484,0.0507,0.0525,0.0537,0.054
