Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0669,0.0659,0.0644,0.0624,0.0601,0.0576,0.0551,0.0528,0.0508,0.0493,0.0483,0.048,0.0483,0.0493,0.0508,0.0528,0.0551,0.0576,0.0601,0.0624,0.0644,0.0659,0.0669,0.0672
Feb,0.0765,0.0755,0.074,0.072,0.0697,0.0672,0.0647,0.0624,0.0604,0.0589,0.0579,0.0576,0.0579,0.0589,0.0604,0.0624,0.0647,0.0672,0.0697,0.072,0.074,0.0755,0.0765,0.0768
Mar,0.0835,0.0825,0.081,0.079,0.0767,0.0742,0.0717,0.0694,0.0674,0.0659,0.065,0.0646,0.065,0.0659,0.0674,0.0694,0.0717,0.0742,0.0767,0.079,0.081,0.0825,0.0835,0.0838
Apr,0.0861,0.0851,0.0836,0.0816,0.0793,0.0768,0.0743,0.072,0.07,0.0685,0.0675,0.0672,0.0675,0.0685,0.07,0.072,0.0743,0.0768,0.0793,0.0816,0.0836,0.0851,0.0861,0.0864
May,0.0835,0.0825,0.081,0.079,0.0767,0.0742,0.0717,0.0694,0.0674,0.0659,0.065,0.0646,0.065,0.0659,0.0674,0.0694,0.0717,0.0742,0.0767,0.079,0.081,0.0825,0.0835,0.0838
Jun,0.0765,0.0755,0.074,0.072,0.0697,0.0672,0.0647,0.0624,0.0604,0.0589,0.0579,0.0576,0.0579,0.0589,0.0604,0.0624,0.0647,0.0672,0.0697,0.072,0.074,0.0755,0.0765,0.0768
Jul,0.0669,0.0659,0.0644,0.0624,0.0601,0.0576,0.0551,0.0528,0.0508,0.0493,0.0483,0.048,0.0483,0.0493,0.0508,0.0528,0.0551,0.0576,0.0601,0.0624,0.0644,0.0659,0.0669,0.0672
Aug,0.0573,0.0563,0.0548,0.0528,0.0505,0.048,0.0455,0.0432,0.0412,0.0397,0.0387,0.0384,0.0387,0.0397,0.0412,0.0432,0.0455,0.048,0.0505,0.0528,0.0548,0.0563,0.0573,0.0576
Sep,0.0502,0.0493,0.0478,0.0458,0.0435,0.041,0.0385,0.0362,0.0342,0.0327,0.0317,0.0314,0.0317,0.0327,0.0342,0.0362,0.0385,0.041,0.0435,0.0458,0.0478,0.0493,0.0502,0.0506
Oct,0.0477,0.0467,0.0452,0.0432,0.0409,0.0384,0.0359,0.0336,0.0316,0.0301,0.0291,0.0288,0.0291,0.0301,0.0316,0.0336,0.0359,0.0384,0.0409,0.0432,0.0452,0.0467,0.0477,0.048
Nov,0.0502,0.0493,0.0478,0.0458,0.0435,0.041,0.0385,0.0362,0.0342,0.0327,0.0317,0.0314,0.0317,0.0327,0.0342,0.0362,0.0385,0.041,0.0435,0.0458,0.0478,0.0493,0.0502,0.0506
Dec,0.0573,0.0563,0.0548,0.0528,0.0505,0.048,0.0455,0.0432,0.0412,0.0397,0.0387,0.0384,0.0387,0.0397,0.0412,0.0432,0.0455,0.048,0.0505,0.0528,0.0548,0.0563,0.0573,0.0576
