Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0738,0.0725,0.0705,0.0678,0.0648,0.0615,0.0582,0.0551,0.0525,0.0505,0.0492,0.0488,0.0492,0.0505,0.0525,0.0551,0.0582,0.0615,0.0648,0.0678,0.0705,0.0725,0.0738,0.0742
Feb,0.087,0.0857,0.0837,0.0811,0.078,0.0747,0.0714,0.0684,0.0657,0.0637,0.0624,0.062,0.0624,0.0637,0.0657,0.0684,0.0714,0.0747,0.078,0.0811,0.0837,0.0857,0.087,0.0875
Mar,0.0967,0.0954,0.0934,0.0908,0.0877,0.0844,0.0811,0.0781,0.0754,0.0734,0.0721,0.0717,0.0721,0.0734,0.0754,0.0781,0.0811,0.0844,0.0877,0.0908,0.0934,0.0954,0.0967,0.0971
Apr,0.1003,0.099,0.097,0.0943,0.0913,0.088,0.0847,0.0816,0.079,0.077,0.0757,0.0753,0.0757,0.077,0.079,0.0816,0.0847,0.088,0.0913,0.0943,0.097,0.099,0.1003,0.1007
May,0.0967,0.0954,0.0934,0.0908,0.0877,0.0844,0.0811,0.0781,0.0754,0.0734,0.0721,0.0717,0.0721,0.0734,0.0754,0.0781,0.0811,0.0844,0.0877,0.0908,0.0934,0.0954,0.0967,0.0971
Jun,0.087,0.0857,0.0837,0.0811,0.078,0.0747,0.0714,0.0684,0.0657,0.0637,0.0624,0.062,0.0624,0.0637,0.0657,0.0684,0.0714,0.0747,0.078,0.0811,0.0837,0.0857,0.087,0.0875
Jul,0.0738,0.0725,0.0705,0.0678,0.0648,0.0615,0.0582,0.0551,0.0525,0.0505,0.0492,0.0488,0.0492,0.0505,0.0525,0.0551,0.0582,0.0615,0.0648,0.0678,0.0705,0.0725,0.0738,0.0742
Aug,0.0605,0.0592,0.0572,0.0546,0.0515,0.0482,0.0449,0.0419,0.0392,0.0372,0.0359,0.0355,0.0359,0.0372,0.0392,0.0419,0.0449,0.0482,0.0515,0.0546,0.0572,0.0592,0.0605,0.061
Sep,0.0508,0.0495,0.0475,0.0449,0.0418,0.0385,0.0352,0.0322,0.0295,0.0275,0.0262,0.0258,0.0262,0.0275,0.0295,0.0322,0.0352,0.0385,0.0418,0.0449,0.0475,0.0495,0.0508,0.0513
Oct,0.0473,0.046,0.044,0.0413,0.0383,0.035,0.0317,0.0286,0.026,0.024,0.0227,0.0223,0.0227,0.024,0.026,0.0286,0.0317,0.035,0.0383,0.0413,0.044,0.046,0.0473,0.0477
Nov,0.0508,0.0495,0.0475,0.0449,0.0418,0.0385,0.0352,0.0322,0.0295,0.0275,0.0262,0.0258,0.0262,0.0275,0.0295,0.0322,0.0352,0.0385,0.0418,0.0449,0.0475,0.0495,0.0508,0.0513
Dec,0.0605,0.0592,0.0572,0.0546,0.0515,0.0482,0.0449,0.0419,0.0392,0.0372,0.0359,0.0355,0.0359,0.0372,0.0392,0.0419,0.0449,0.0482,0.0515,0.0546,0.0572,0.0592,0.0605,0.061
