Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0596,0.0588,0.0576,0.056,0.0542,0.0522,0.0503,0.0484,0.0469,0.0457,0.0449,0.0446,0.0449,0.0457,0.0469,0.0484,0.0503,0.0522,0.0542,0.056,0.0576,0.0588,0.0596,0.0598
Feb,0.0691,0.0683,0.0671,0.0656,0.0637,0.0618,0.0598,0.058,0.0564,0.0552,0.0544,0.0542,0.0544,0.0552,0.0564,0.058,0.0598,0.0618,0.0637,0.0656,0.0671,0.0683,0.0691,0.0694
Mar,0.076,0.0753,0.0741,0.0725,0.0707,0.0687,0.0667,0.0649,0.0633,0.0621,0.0614,0.0611,0.0614,0.0621,0.0633,0.0649,0.0667,0.0687,0.0707,0.0725,0.0741,0.0753,0.076,0.0763
Apr,0.0786,0.0778,0.0766,0.075,0.0732,0.0712,0.0693,0.0674,0.0659,0.0647,0.0639,0.0636,0.0639,0.0647,0.0659,0.0674,0.0693,0.0712,0.0732,0.075,0.0766,0.0778,0.0786,0.0788
May,0.076,0.0753,0.0741,0.0725,0.0707,0.0687,0.0667,0.0649,0.0633,0.0621,0.0614,0.0611,0.0614,0.0621,0.0633,0.0649,0.0667,0.0687,0.0707,0.0725,0.0741,0.0753,0.076,0.0763
Jun,0.0691,0.0683,0.0671,0.0656,0.0637,0.0618,0.0598,0.058,0.0564,0.0552,0.0544,0.0542,0.0544,0.0552,0.0564,0.058,0.0598,0.0618,0.0637,0.0656,0.0671,0.0683,0.0691,0.0694
Jul,0.0596,0.0588,0.0576,0.056,0.0542,0.0522,0.0503,0.0484,0.0469,0.0457,0.0449,0.0446,0.0449,0.0457,0.0469,0.0484,0.0503,0.0522,0.0542,0.056,0.0576,0.0588,0.0596,0.0598
Aug,0.0501,0.0493,0.0481,0.0466,0.0447,0.0427,0.0408,0.039,0.0374,0.0362,0.0354,0.0351,0.0354,0.0362,0.0374,0.0389,0.0408,0.0427,0.0447,0.0466,0.0481,0.0493,0.0501,0.0504
Sep,0.0431,0.0424,0.0412,0.0396,0.0378,0.0358,0.0338,0.032,0.0304,0.0292,0.0285,0.0282,0.0285,0.0292,0.0304,0.032,0.0338,0.0358,0.0378,0.0396,0.0412,0.0424,0.0431,0.0434
Oct,0.0406,0.0398,0.0386,0.0371,0.0352,0.0332,0.0313,0.0295,0.0279,0.0267,0.0259,0.0256,0.0259,0.0267,0.0279,0.0294,0.0313,0.0332,0.0352,0.0371,0.0386,0.0398,0.0406,0.0409
Nov,0.0431,0.0424,0.0412,0.0396,0.0378,0.0358,0.0338,0.032,0.0304,0.0292,0.0285,0.0282,0.0285,0.0292,0.0304,0.032,0.0338,0.0358,0.0378,0.0396,0.0412,0.0424,0.0431,0.0434
Dec,0.0501,0.0493,0.0481,0.0465,0.0447,0.0427,0.0408,0.0389,0.0374,0.0362,0.0354,0.0351,0.0354,0.0362,0.0374,0.0389,0.0408,0.0427,0.0447,0.0465,0.0481,0.0493,0.0501,0.0503
