Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0633,0.0622,0.0605,0.0582,0.0556,0.0528,0.05,0.0473,0.0451,0.0433,0.0422,0.0419,0.0422,0.0433,0.0451,0.0473,0.05,0.0528,0.0556,0.0582,0.0605,0.0622,0.0633,0.0637
Feb,0.0747,0.0736,0.0719,0.0696,0.067,0.0642,0.0613,0.0587,0.0564,0.0547,0.0536,0.0532,0.0536,0.0547,0.0564,0.0587,0.0613,0.0642,0.067,0.0696,0.0719,0.0736,0.0747,0.0751
Mar,0.083,0.0819,0.0802,0.0779,0.0753,0.0725,0.0697,0.067,0.0648,0.063,0.0619,0.0616,0.0619,0.063,0.0648,0.067,0.0697,0.0725,0.0753,0.0779,0.0802,0.0819,0.083,0.0834
Apr,0.0861,0.085,0.0833,0.081,0.0784,0.0755,0.0727,0.0701,0.0678,0.0661,0.065,0.0646,0.065,0.0661,0.0678,0.0701,0.0727,0.0755,0.0784,0.081,0.0833,0.085,0.0861,0.0864
May,0.083,0.0819,0.0802,0.0779,0.0753,0.0725,0.0697,0.067,0.0648,0.063,0.0619,0.0616,0.0619,0.063,0.0648,0.067,0.0697,0.0725,0.0753,0.0779,0.0802,0.0819,0.083,0.0834
Jun,0.0747,0.0736,0.0719,0.0696,0.067,0.0642,0.0613,0.0587,0.0564,0.0547,0.0536,0.0532,0.0536,0.0547,0.0564,0.0587,0.0613,0.0642,0.067,0.0696,0.0719,0.0736,0.0747,0.0751
Jul,0.0633,0.0622,0.0605,0.0582,0.0556,0.0528,0.05,0.0473,0.0451,0.0433,0.0422,0.0419,0.0422,0.0433,0.0451,0.0473,0.05,0.0528,0.0556,0.0582,0.0605,0.0622,0.0633,0.0637
Aug,0.052,0.0509,0.0491,0.0469,0.0442,0.0414,0.0386,0.0359,0.0337,0.0319,0.0309,0.0305,0.0309,0.0319,0.0337,0.0359,0.0386,0.0414,0.0442,0.0469,0.0491,0.0509,0.052,0.0523
Sep,0.0436,0.0425,0.0408,0.0385,0.0359,0.0331,0.0303,0.0276,0.0254,0.0236,0.0225,0.0222,0.0225,0.0236,0.0254,0.0276,0.0303,0.0331,0.0359,0.0385,0.0408,0.0425,0.0436,0.044
Oct,0.0406,0.0395,0.0378,0.0355,0.0329,0.03,0.0272,0.0246,0.0223,0.0206,0.0195,0.0191,0.0195,0.0206,0.0223,0.0246,0.0272,0.03,0.0329,0.0355,0.0378,0.0395,0.0406,0.041
Nov,0.0436,0.0425,0.0408,0.0385,0.0359,0.0331,0.0303,0.0276,0.0254,0.0236,0.0225,0.0222,0.0225,0.0236,0.0254,0.0276,0.0303,0.0331,0.0359,0.0385,0.0408,0.0425,0.0436,0.044
Dec,0.052,0.0509,0.0491,0.0469,0.0442,0.0414,0.0386,0.0359,0.0337,0.0319,0.0309,0.0305,0.0309,0.0319,0.0337,0.0359,0.0386,0.0414,0.0442,0.0469,0.0491,0.0509,0.052,0.0523
