Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0683,0.0673,0.0657,0.0637,0.0613,0.0588,0.0563,0.0539,0.0519,0.0503,0.0493,0.049,0.0493,0.0503,0.0519,0.0539,0.0563,0.0588,0.0613,0.0637,0.0657,0.0673,0.0683,0.0686
Feb,0.0781,0.0771,0.0755,0.0735,0.0711,0.0686,0.0661,0.0637,0.0617,0.0601,0.0591,0.0588,0.0591,0.0601,0.0617,0.0637,0.0661,0.0686,0.0711,0.0735,0.0755,0.0771,0.0781,0.0784
Mar,0.0852,0.0843,0.0827,0.0807,0.0783,0.0758,0.0732,0.0709,0.0688,0.0673,0.0663,0.066,0.0663,0.0673,0.0688,0.0709,0.0732,0.0758,0.0783,0.0807,0.0827,0.0843,0.0852,0.0856
Apr,0.0879,0.0869,0.0853,0.0833,0.0809,0.0784,0.0759,0.0735,0.0715,0.0699,0.0689,0.0686,0.0689,0.0699,0.0715,0.0735,0.0759,0.0784,0.0809,0.0833,0.0853,0.0869,0.0879,0.0882
May,0.0852,0.0843,0.0827,0.0807,0.0783,0.0758,0.0732,0.0709,0.0688,0.0673,0.0663,0.066,0.0663,0.0673,0.0688,0.0709,0.0732,0.0758,0.0783,0.0807,0.0827,0.0843,0.0852,0.0856
Jun,0.0781,0.0771,0.0755,0.0735,0.0711,0.0686,0.0661,0.0637,0.0617,0.0601,0.0591,0.0588,0.0591,0.0601,0.0617,0.0637,0.0661,0.0686,0.0711,0.0735,0.0755,0.0771,0.0781,0.0784
Jul,0.0683,0.0673,0.0657,0.0637,0.0613,0.0588,0.0563,0.0539,0.0519,0.0503,0.0493,0.049,0.0493,0.0503,0.0519,0.0539,0.0563,0.0588,0.0613,0.0637,0.0657,0.0673,0.0683,0.0686
Aug,0.0585,0.0575,0.0559,0.0539,0.0515,0.049,0.0465,0.0441,0.0421,0.0405,0.0395,0.0392,0.0395,0.0405,0.0421,0.0441,0.0465,0.049,0.0515,0.0539,0.0559,0.0575,0.0585,0.0588
Sep,0.0513,0.0503,0.0488,0.0467,0.0444,0.0418,0.0393,0.0369,0.0349,0.0333,0.0324,0.032,0.0324,0.0333,0.0349,0.0369,0.0393,0.0418,0.0444,0.0467,0.0488,0.0503,0.0513,0.0516
Oct,0.0487,0.0477,0.0461,0.0441,0.0417,0.0392,0.0367,0.0343,0.0323,0.0307,0.0297,0.0294,0.0297,0.0307,0.0323,0.0343,0.0367,0.0392,0.0417,0.0441,0.0461,0.0477,0.0487,0.049
Nov,0.0513,0.0503,0.0488,0.0467,0.0444,0.0418,0.0393,0.0369,0.0349,0.0333,0.0324,0.032,0.0324,0.0333,0.0349,0.0369,0.0393,0.0418,0.0444,0.0467,0.0488,0.0503,0.0513,0.0516
Dec,0.0585,0.0575,0.0559,0.0539,0.0515,0.049,0.0465,0.0441,0.0421,0.0405,0.0395,0.0392,0.0395,0.0405,0.0421,0.0441,0.0465,0.049,0.0515,0.0539,0.0559,0.0575,0.0585,0.0588
