Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0612,0.0604,0.0591,0.0575,0.0556,0.0536,0.0516,0.0497,0.0481,0.0469,0.0461,0.0458,0.0461,0.0469,0.0481,0.0497,0.0516,0.0536,0.0556,0.0575,0.0591,0.0604,0.0612,0.0614
Feb,0.0709,0.0701,0.0689,0.0673,0.0654,0.0634,0.0614,0.0595,0.0579,0.0566,0.0558,0.0556,0.0558,0.0566,0.0579,0.0595,0.0614,0.0634,0.0654,0.0673,0.0689,0.0701,0.0709,0.0712
Mar,0.078,0.0773,0.076,0.0744,0.0725,0.0705,0.0685,0.0666,0.065,0.0638,0.063,0.0627,0.063,0.0638,0.065,0.0666,0.0685,0.0705,0.0725,0.0744,0.076,0.0773,0.078,0.0783
Apr,0.0807,0.0799,0.0786,0.077,0.0751,0.0731,0.0711,0.0692,0.0676,0.0664,0.0656,0.0653,0.0656,0.0664,0.0676,0.0692,0.0711,0.0731,0.0751,0.077,0.0786,0.0799,0.0807,0.0809
May,0.078,0.0773,0.076,0.0744,0.0725,0.0705,0.0685,0.0666,0.065,0.0638,0.063,0.0627,0.063,0.0638,0.065,0.0666,0.0685,0.0705,0.0725,0.0744,0.076,0.0773,0.078,0.0783
Jun,0.0709,0.0701,0.0689,0.0673,0.0654,0.0634,0.0614,0.0595,0.0579,0.0566,0.0558,0.0556,0.0558,0.0566,0.0579,0.0595,0.0614,0.0634,0.0654,0.0673,0.0689,0.0701,0.0709,0.0712
Jul,0.0612,0.0604,0.0591,0.0575,0.0556,0.0536,0.0516,0.0497,0.0481,0.0469,0.0461,0.0458,0.0461,0.0469,0.0481,0.0497,0.0516,0.0536,0.0556,0.0575,0.0591,0.0604,0.0612,0.0614
Aug,0.0514,0.0506,0.0494,0.0478,0.0459,0.0439,0.0419,0.04,0.0384,0.0371,0.0363,0.0361,0.0363,0.0371,0.0384,0.04,0.0419,0.0439,0.0459,0.0478,0.0494,0.0506,0.0514,0.0517
Sep,0.0443,0.0435,0.0423,0.0406,0.0388,0.0367,0.0347,0.0328,0.0312,0.03,0.0292,0.0289,0.0292,0.03,0.0312,0.0328,0.0347,0.0367,0.0388,0.0406,0.0423,0.0435,0.0443,0.0445
Oct,0.0417,0.0409,0.0396,0.038,0.0361,0.0341,0.0321,0.0302,0.0286,0.0274,0.0266,0.0263,0.0266,0.0274,0.0286,0.0302,0.0321,0.0341,0.0361,0.038,0.0396,0.0409,0.0417,0.0419
Nov,0.0443,0.0435,0.0423,0.0406,0.0388,0.0367,0.0347,0.0328,0.0312,0.03,0.0292,0.0289,0.0292,0.03,0.0312,0.0328,0.0347,0.0367,0.0388,0.0406,0.0423,0.0435,0.0443,0.0445
Dec,0.0514,0.0506,0.0494,0.0478,0.0459,0.0439,0.0419,0.04,0.0384,0.0371,0.0363,0.0361,0.0363,0.0371,0.0384,0.04,0.0419,0.0439,0.0459,0.0478,0.0494,0.0506,0.0514,0.0517
