Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0696,0.0684,0.0665,0.064,0.0611,0.058,0.0549,0.052,0.0495,0.0476,0.0464,0.046,0.0464,0.0476,0.0495,0.052,0.0549,0.058,0.0611,0.064,0.0665,0.0684,0.0696,0.07
Feb,0.0821,0.0809,0.079,0.0765,0.0736,0.0705,0.0674,0.0645,0.062,0.0601,0.0589,0.0585,0.0589,0.0601,0.062,0.0645,0.0674,0.0705,0.0736,0.0765,0.079,0.0809,0.0821,0.0825
Mar,0.0912,0.09,0.0881,0.0857,0.0828,0.0797,0.0765,0.0737,0.0712,0.0693,0.0681,0.0677,0.0681,0.0693,0.0712,0.0737,0.0765,0.0797,0.0828,0.0857,0.0881,0.09,0.0912,0.0917
Apr,0.0946,0.0934,0.0915,0.089,0.0861,0.083,0.0799,0.077,0.0745,0.0726,0.0714,0.071,0.0714,0.0726,0.0745,0.077,0.0799,0.083,0.0861,0.089,0.0915,0.0934,0.0946,0.095
May,0.0912,0.09,0.0881,0.0857,0.0828,0.0797,0.0765,0.0737,0.0712,0.0693,0.0681,0.0677,0.0681,0.0693,0.0712,0.0737,0.0765,0.0797,0.0828,0.0857,0.0881,0.09,0.0912,0.0917
Jun,0.0821,0.0809,0.079,0.0765,0.0736,0.0705,0.0674,0.0645,0.062,0.0601,0.0589,0.0585,0.0589,0.0601,0.062,0.0645,0.0674,0.0705,0.0736,0.0765,0.079,0.0809,0.0821,0.0825
Jul,0.0696,0.0684,0.0665,0.064,0.0611,0.058,0.0549,0.052,0.0495,0.0476,0.0464,0.046,0.0464,0.0476,0.0495,0.052,0.0549,0.058,0.0611,0.064,0.0665,0.0684,0.0696,0.07
Aug,0.0571,0.0559,0.054,0.0515,0.0486,0.0455,0.0424,0.0395,0.037,0.0351,0.0339,0.0335,0.0339,0.0351,0.037,0.0395,0.0424,0.0455,0.0486,0.0515,0.054,0.0559,0.0571,0.0575
Sep,0.0479,0.0467,0.0448,0.0423,0.0395,0.0363,0.0332,0.0303,0.0279,0.026,0.0248,0.0243,0.0248,0.026,0.0279,0.0303,0.0332,0.0363,0.0395,0.0423,0.0448,0.0467,0.0479,0.0483
Oct,0.0446,0.0434,0.0415,0.039,0.0361,0.033,0.0299,0.027,0.0245,0.0226,0.0214,0.021,0.0214,0.0226,0.0245,0.027,0.0299,0.033,0.0361,0.039,0.0415,0.0434,0.0446,0.045
Nov,0.0479,0.0467,0.0448,0.0423,0.0395,0.0363,0.0332,0.0303,0.0279,0.026,0.0248,0.0243,0.0248,0.026,0.0279,0.0303,0.0332,0.0363,0.0395,0.0423,0.0448,0.0467,0.0479,0.0483
Dec,0.0571,0.0559,0.054,0.0515,0.0486,0.0455,0.0424,0.0395,0.037,0.0351,0.0339,0.0335,0.0339,0.0351,0.037,0.0395,0.0424,0.0455,0.0486,0.0515,0.054,0.0559,0.0571,0.0575
