Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0643,0.0635,0.0622,0.0605,0.0585,0.0564,0.0543,0.0523,0.0506,0.0493,0.0485,0.0482,0.0485,0.0493,0.0506,0.0523,0.0543,0.0564,0.0585,0.0605,0.0622,0.0635,0.0643,0.0646
Feb,0.0745,0.0737,0.0724,0.0707,0.0687,0.0666,0.0645,0.0625,0.0608,0.0595,0.0587,0.0584,0.0587,0.0595,0.0608,0.0625,0.0645,0.0666,0.0687,0.0707,0.0724,0.0737,0.0745,0.0748
Mar,0.082,0.0812,0.0799,0.0782,0.0763,0.0741,0.072,0.07,0.0683,0.067,0.0662,0.0659,0.0662,0.067,0.0683,0.07,0.072,0.0741,0.0763,0.0782,0.0799,0.0812,0.082,0.0823
Apr,0.0848,0.084,0.0827,0.081,0.079,0.0769,0.0748,0.0728,0.0711,0.0698,0.069,0.0687,0.069,0.0698,0.0711,0.0728,0.0748,0.0769,0.079,0.081,0.0827,0.084,0.0848,0.0851
May,0.082,0.0812,0.0799,0.0782,0.0763,0.0741,0.072,0.07,0.0683,0.067,0.0662,0.0659,0.0662,0.067,0.0683,0.07,0.072,0.0741,0.0763,0.0782,0.0799,0.0812,0.082,0.0823
Jun,0.0745,0.0737,0.0724,0.0707,0.0687,0.0666,0.0645,0.0625,0.0608,0.0595,0.0587,0.0584,0.0587,0.0595,0.0608,0.0625,0.0645,0.0666,0.0687,0.0707,0.0724,0.0737,0.0745,0.0748
Jul,0.0643,0.0635,0.0622,0.0605,0.0585,0.0564,0.0543,0.0523,0.0506,0.0493,0.0485,0.0482,0.0485,0.0493,0.0506,0.0523,0.0543,0.0564,0.0585,0.0605,0.0622,0.0635,0.0643,0.0646
Aug,0.054,0.0532,0.0519,0.0502,0.0482,0.0461,0.044,0.042,0.0403,0.039,0.0382,0.0379,0.0382,0.039,0.0403,0.042,0.044,0.0461,0.0482,0.0502,0.0519,0.0532,0.054,0.0543
Sep,0.0465,0.0457,0.0444,0.0427,0.0407,0.0386,0.0365,0.0345,0.0328,0.0315,0.0307,0.0304,0.0307,0.0315,0.0328,0.0345,0.0365,0.0386,0.0407,0.0427,0.0444,0.0457,0.0465,0.0468
Oct,0.0438,0.043,0.0417,0.04,0.038,0.0359,0.0338,0.0318,0.0301,0.0288,0.028,0.0277,0.028,0.0288,0.0301,0.0318,0.0338,0.0359,0.038,0.04,0.0417,0.043,0.0438,0.0441
Nov,0.0465,0.0457,0.0444,0.0427,0.0407,0.0386,0.0365,0.0345,0.0328,0.0315,0.0307,0.0304,0.0307,0.0315,0.0328,0.0345,0.0365,0.0386,0.0407,0.0427,0.0444,0.0457,0.0465,0.0468
Dec,0.054,0.0532,0.0519,0.0502,0.0482,0.0461,0.044,0.042,0.0403,0.039,0.0382,0.0379,0.0382,0.039,0.0403,0.042,0.044,0.0461,0.0482,0.0502,0.0519,0.0532,0.054,0.0543
