Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0717,0.0704,0.0685,0.0659,0.0629,0.0597,0.0565,0.0536,0.051,0.049,0.0478,0.0474,0.0478,0.049,0.051,0.0536,0.0565,0.0597,0.0629,0.0659,0.0685,0.0704,0.0717,0.0721
Feb,0.0846,0.0833,0.0814,0.0788,0.0758,0.0726,0.0694,0.0664,0.0639,0.0619,0.0607,0.0603,0.0607,0.0619,0.0639,0.0664,0.0694,0.0726,0.0758,0.0788,0.0814,0.0833,0.0846,0.085
Mar,0.094,0.0927,0.0908,0.0882,0.0852,0.082,0.0788,0.0759,0.0733,0.0713,0.0701,0.0697,0.0701,0.0713,0.0733,0.0759,0.0788,0.082,0.0852,0.0882,0.0908,0.0927,0.094,0.0944
Apr,0.0974,0.0962,0.0942,0.0917,0.0887,0.0855,0.0823,0.0793,0.0768,0.0748,0.0736,0.0731,0.0736,0.0748,0.0768,0.0793,0.0823,0.0855,0.0887,0.0917,0.0942,0.0962,0.0974,0.0979
May,0.094,0.0927,0.0908,0.0882,0.0852,0.082,0.0788,0.0759,0.0733,0.0713,0.0701,0.0697,0.0701,0.0713,0.0733,0.0759,0.0788,0.082,0.0852,0.0882,0.0908,0.0927,0.094,0.0944
Jun,0.0846,0.0833,0.0814,0.0788,0.0758,0.0726,0.0694,0.0664,0.0639,0.0619,0.0607,0.0603,0.0607,0.0619,0.0639,0.0664,0.0694,0.0726,0.0758,0.0788,0.0814,0.0833,0.0846,0.085
Jul,0.0717,0.0704,0.0685,0.0659,0.0629,0.0597,0.0565,0.0536,0.051,0.049,0.0478,0.0474,0.0478,0.049,0.051,0.0536,0.0565,0.0597,0.0629,0.0659,0.0685,0.0704,0.0717,0.0721
Aug,0.0588,0.0576,0.0556,0.053,0.0501,0.0469,0.0437,0.0407,0.0381,0.0362,0.0349,0.0345,0.0349,0.0362,0.0381,0.0407,0.0437,0.0469,0.0501,0.053,0.0556,0.0576,0.0588,0.0592
Sep,0.0494,0.0481,0.0462,0.0436,0.0406,0.0374,0.0342,0.0313,0.0287,0.0267,0.0255,0.0251,0.0255,0.0267,0.0287,0.0313,0.0342,0.0374,0.0406,0.0436,0.0462,0.0481,0.0494,0.0498
Oct,0.0459,0.0447,0.0427,0.0402,0.0372,0.034,0.0308,0.0278,0.0253,0.0233,0.0221,0.0216,0.0221,0.0233,0.0253,0.0278,0.0308,0.034,0.0372,0.0402,0.0427,0.0447,0.0459,0.0464
Nov,0.0494,0.0481,0.0462,0.0436,0.0406,0.0374,0.0342,0.0313,0.0287,0.0267,0.0255,0.0251,0.0255,0.0267,0.0287,0.0313,0.0342,0.0374,0.0406,0.0436,0.0462,0.0481,0.0494,0.0498
Dec,0.0588,0.0576,0.0556,0.053,0.0501,0.0469,0.0437,0.0407,0.0381,0.0362,0.0349,0.0345,0.0349,0.0362,0.0381,0.0407,0.0437,0.0469,0.0501,0.053,0.0556,0.0576,0.0588,0.0592
